r1_quadratic,r2_mean,r3_median,r4_capped_median,r4_capped_median_no_caps,Project
37334.56823141635,20915.23725570698,21404.79868244687,21450.262438400867,21419.15818371035,Project 40
18179.04699891764,5365.266361569165,4945.939385469245,4956.444552302167,4949.257390179701,Project 41
13641.213898527361,3265.9070498159663,2413.2525589821234,2418.3783033081786,2414.871499841315,Project 42
77320.03637305493,89806.69038669206,98460.30568643023,98669.4352080526,98526.35820600222,Project 43
33597.0683709204,17792.46695892382,19343.552085029994,19384.637756720906,19356.52879014766,Project 44
37812.943802015696,24795.63137671456,21985.29623285582,22031.992964618425,22000.045163397852,Project 45
10319.935188974296,2356.988971987117,593.9574779502913,0.0,594.3559368791329,Project 46
33299.19616595146,19213.09409951869,17385.800156768037,17422.727566696933,17397.463495583852,Project 47
18986.54422977833,6538.656865814245,5805.428893063829,5816.790964573476,5808.356245037379,Project 48
15945.42119166412,4398.79653334633,3149.9700193708213,3156.660550328279,3152.08319030712,Project 49
41858.17594880965,26525.61769293902,28132.237957837722,28191.99078335734,28151.110590675486,Project 50
53400.915355296966,43061.262101690954,43818.113695674765,43911.18329455205,43847.5092657201,Project 51
26929.586909706948,12876.433194536541,10247.508831030125,10269.274522338046,10254.383416406503,Project 52
15449.701792099719,4830.025446787272,3732.2963211516108,3740.2237121824814,3734.800148192189,Project 53
16535.252790730883,5222.675699355017,2914.897839382152,2921.0890774295885,2916.8533111354013,Project 54
11680.008928662168,3042.3383161049815,1147.0454601234985,1121.8452643884427,1120.2185168870035,Project 55
47463.38398871881,33700.28813535965,35065.32159192335,35139.800275276284,35088.84531373795,Project 56
9238.148039146723,1785.2912077734072,813.2442794115354,814.9716088762347,813.7898478343444,Project 57
15965.182983751853,4528.912768818606,4352.718424560077,4361.963591082149,4355.6384644373165,Project 58
28613.310174524788,12607.241316580416,12974.046958234161,13001.603811881587,12982.750653440693,Project 59
13397.379242592777,3814.319638409405,2117.575258610658,2055.1499065931607,2052.169807570809,Project 60
8725.81370368896,2166.731099237898,277.90653136427346,0.0,266.07570069421587,Project 61
6931.174293291733,1148.6766391764013,276.4230312801495,0.0,272.45512051651014,Project 62
53729.48721416313,44090.72958084569,44382.860234016065,44477.129353579156,44412.634666705766,Project 63
19942.672103543595,6238.196864798005,6531.984459696408,6545.858383566313,6536.366469566884,Project 64
79988.29992351848,98359.66496209826,104393.73783151215,104615.4699529074,104463.77081955984,Project 65
13405.221248030937,3980.8843884240246,2973.3673542784595,1927.3025964062936,1924.5078841739157,Project 66
9298.12234220985,1768.3692335846827,871.8528007232388,873.704614587407,872.4376869246595,Project 67
26857.33734901937,11346.500086399225,11332.118385751251,11356.187785906555,11339.72058611259,Project 68
26062.762425777586,11260.968693346173,11108.417958141572,11132.012218969545,11115.870088108857,Project 69
12948.726529496125,2959.7573318084364,1948.4237324782182,1952.5621811682774,1949.7308409198058,Project 70
19385.296926986688,6189.765218988187,5743.247040339919,5755.445687274151,5747.099922320063,Project 71
53650.49947841452,47098.45255574471,39434.836041615185,39518.59556621898,39461.29107099273,Project 72
8097.8588043551845,1479.1004883684848,403.34821617533504,0.0,403.6188040610572,Project 73
35416.817958046384,21051.735576153267,19175.199923459088,19215.928015445494,19188.063688805043,Project 74
12518.686468012878,3069.034814253277,2229.9016618914084,2211.4242774683908,2208.217570596962,Project 75
20976.239965278266,6927.401935918471,7125.9830200356455,7141.118595836267,7130.763516395261,Project 76
38406.98587372287,24239.462740775023,23927.83144829801,23978.654121550513,23943.883536944646,Project 77
52382.29167516764,42126.061289924495,46693.58961025029,46792.76671507385,46724.91420568105,Project 78
20895.51871144042,10631.25245619177,2312.598345676437,2317.5103006248223,2314.149762223694,Project 79
11084.48778655045,2980.6809026656647,610.3260347593156,0.0,610.7354746048977,Project 80
