round,normalized_median_gini_index,r1_quadratic_gini_index,r2_mean_gini_index,r3_median_gini_index,r4_capped_median_gini_index
81,0.2939765230483989,0.13657852653293015,0.24976142489271666,0.2939765230483989,0.2939765230483989
82,0.301849604870108,0.13975674918079933,0.25625121718679555,0.301849604870108,0.301849604870108
83,0.28876224863726324,0.13434558182932757,0.2436359483787522,0.28876224863726313,0.28876224863726324
84,0.2935210379027825,0.13790954250862258,0.25008764094601144,0.2935210379027825,0.2935210379027825
85,0.30190127740866185,0.13973476954426398,0.25747973549902015,0.30190127740866185,0.30190127740866185
86,0.29316301126119043,0.13810816131890685,0.24985266547743862,0.29316301126119043,0.29316301126119043
87,0.2880427805573187,0.13500428589544924,0.24516378444584436,0.2880427805573187,0.2880427805573187
88,0.3016700307222537,0.13824975525079625,0.2544027978552859,0.3016700307222537,0.3016700307222537
89,0.2875599558694585,0.1348323422757762,0.24322988937243178,0.2875599558694583,0.2875599558694585
90,0.27809061808418684,0.12950766901968724,0.23515557449554103,0.27809061808418745,0.27809061808418684
91,0.296820025396128,0.13793182076262506,0.252054461094612,0.296820025396128,0.296820025396128
92,0.2892569761273189,0.13466377918743483,0.24499702392703238,0.2892569761273189,0.2892569761273189
93,0.2901147538754317,0.13717380336007834,0.24783657116132718,0.2901147538754317,0.2901147538754317
94,0.28838896725489266,0.1339251995336979,0.24370635182781092,0.28838896725489266,0.28838896725489266
95,0.29150305749177513,0.13554501737267402,0.24803788060423676,0.29150305749177513,0.29150305749177513
96,0.3037300665714147,0.1390059936842071,0.2570958029775973,0.3037300665714147,0.3037300665714147
97,0.3061918879302275,0.1417995045901797,0.26111246313422365,0.3061918879302275,0.3061918879302275
98,0.28867690241430916,0.1326713778341112,0.243973565333931,0.28867690241430916,0.28867690241430916
99,0.29671394034315085,0.13798417637133772,0.251600756498501,0.29671394034315085,0.29671394034315085
100,0.2887933303436632,0.13481682905451126,0.24476694784391137,0.28879333034366345,0.2887933303436632
