round,normalized_median_egalitarian_score,r1_quadratic_egalitarian_score,r2_mean_egalitarian_score,r3_median_egalitarian_score,r4_capped_median_egalitarian_score
28,3158169.8578723557,3613615.551910651,3129139.7892571026,3158169.8578723557,3158169.8578723557
29,3199312.721883482,3596678.0178395947,3138516.6388215693,3199312.7218834814,3199312.721883482
30,3191375.198552221,3557041.122178774,3129765.8598715784,3191375.198552221,3191375.198552221
31,3213318.7863757974,3717507.621387651,3171602.3881182373,3213318.7863757964,3213318.7863757974
32,3178179.1803493416,3645523.269080534,3073673.0609287526,3178179.1803493416,3178179.1803493416
33,3188535.9216851373,3548682.9841146953,3137167.3950355714,3188535.921685137,3188535.9216851373
34,3208423.352580458,3572050.9911927925,3156888.4086297504,3208423.352580458,3208423.352580458
35,3232224.209428912,3583890.1232350534,3168256.728186814,3232224.209428912,3232224.209428912
36,3171217.702662549,3577124.732068219,3137980.620607082,3171217.702662549,3171217.702662549
37,3167644.258699581,3614801.9619153794,3129448.01714894,3167644.258699581,3167644.258699581
38,3221823.6643933756,3578610.1467603855,3238665.1429471523,3221823.6643933756,3221823.6643933756
39,3182896.458272366,3565982.3505300274,3128012.023579631,3182896.458272366,3182896.458272366
40,3221385.574254567,3654101.823562188,3166212.606241976,3221385.574254567,3221385.574254567
41,3154418.305889207,3530535.206982736,3113925.5750888297,3154418.305889207,3154418.305889207
42,3144149.427825478,3573497.6414080365,3108773.4929949883,3144149.427825478,3144149.427825478
43,3125942.9356442504,3516933.778888375,3103717.3013031855,3125942.9356442504,3125942.9356442504
44,3178528.595588444,3575859.5458965763,3126959.5016292706,3178528.595588444,3178528.595588444
45,3145605.421908848,3626276.9012347357,3140754.545821292,3145605.421908848,3145605.421908848
46,3288431.1412574304,3596871.554817262,3196775.039140907,3288431.1412574304,3288431.1412574304
47,3200508.0450765984,3610406.459741926,3180096.880646603,3200508.0450765984,3200508.0450765984
48,3172386.616010024,3592622.34196218,3189127.1150272996,3172386.616010024,3172386.616010024
49,3239742.687978632,3674163.39893978,3167303.4568754006,3239742.687978632,3239742.687978632
50,3201569.626036198,3652092.435593219,3163514.6218114784,3201569.626036198,3201569.626036198
51,3216979.5887600575,3635394.4110374744,3141474.265116962,3216979.5887600565,3216979.5887600575
52,3208993.4058616282,3648152.353020593,3186871.110253294,3208993.4058616282,3208993.4058616282
53,3178235.9271374824,3572721.797340088,3109363.1658796407,3178235.9271374824,3178235.9271374824
54,3191469.0593093154,3536102.913521089,3130528.715614537,3191469.059309315,3191469.0593093154
55,3246959.271893846,3651668.553987326,3133070.541599851,3246959.271893846,3246959.271893846
56,3222342.344949805,3542958.1230272283,3153050.937816593,3222342.344949805,3222342.344949805
57,3154504.668377028,3601238.3947881893,3108419.633859828,3154504.668377028,3154504.668377028
58,3194901.2752163983,3603554.442562898,3194934.917452341,3194901.2752163983,3194901.2752163983
59,3160717.5412988057,3571382.7242704607,3101237.969461829,3160717.541298806,3160717.5412988057
60,3160428.6095682727,3561706.5434419233,3121859.352991634,3160428.6095682727,3160428.6095682727
61,3186036.6344909333,3562085.178864279,3156085.5615049666,3186036.6344909333,3186036.6344909333
62,3218211.7302664905,3656294.134155062,3155148.167329464,3218211.73026649,3218211.7302664905
63,3225729.496386041,3593444.101793155,3175803.527146285,3225729.496386041,3225729.496386041
64,3155240.0705580562,3577042.984183067,3112501.2534452523,3155240.0705580562,3155240.0705580562
65,3177088.745880898,3667087.262171806,3139944.04883899,3177088.745880898,3177088.745880898
66,3302647.954093389,3640054.859137253,3192963.5779151097,3302647.954093389,3302647.954093389
67,3112025.821063754,3514415.007375635,3082915.2596771456,3112025.821063753,3112025.821063754
68,3171578.057492825,3520673.1793064196,3152366.5884346757,3171578.057492825,3171578.057492825
69,3185871.260906079,3572581.8913765154,3152888.2518203557,3185871.260906079,3185871.260906079
70,3226093.3899341226,3518277.606657548,3156571.3363990826,3226093.3899341226,3226093.3899341226
