round,normalized_median_l1_distance,r1_quadratic_l1_distance,r2_mean_l1_distance,r3_median_l1_distance,r4_capped_median_l1_distance
51,3563096.311548139,1651312.8994648673,3030229.6471374175,3563096.311548139,3563096.311548139
52,3641177.4439560734,1672957.3419955212,3098528.543397261,3641177.4439560734,3641177.4439560734
53,3448411.9669383117,1602957.3059616878,2933416.0078321625,3448411.9669383112,3448411.9669383117
54,3682691.3486669045,1693583.0692105659,3126814.387448446,3682691.3486669045,3682691.3486669045
55,3564426.1614323375,1656428.4701669225,3041106.7430802463,3564426.1614323375,3564426.1614323375
56,3516055.0848977584,1642687.5000184723,2980439.1232970804,3516055.0848977584,3516055.0848977584
57,3345536.185719195,1576775.2621375727,2839392.2773573855,3345536.185719195,3345536.185719195
58,3331773.6156206555,1564224.9887979543,2835928.9845474213,3331773.6156206555,3331773.6156206555
59,3642076.6477756468,1696116.7495707106,3097028.6271395115,3642076.6477756468,3642076.6477756468
60,3430333.3328812653,1610395.4848223322,2922973.2708921484,3430333.3328812653,3430333.3328812653
61,3448661.628767074,1611971.7860811788,2918732.069663414,3448661.628767074,3448661.628767074
62,3376095.286176523,1581418.0141074585,2881676.001642908,3376095.286176523,3376095.286176523
63,3367031.4755606423,1586762.9229181928,2856945.2451158715,3367031.4755606423,3367031.4755606423
64,3396717.397648124,1593058.0872919876,2892222.8035512194,3396717.397648124,3396717.397648124
65,3482126.5349662276,1591513.3220086594,2950482.5113292392,3482126.5349662276,3482126.5349662276
66,3442409.73189946,1593996.8348454637,2917647.0975990063,3442409.73189946,3442409.73189946
67,3575449.2987630935,1657044.0719519812,3033677.573668152,3575449.2987630935,3575449.2987630935
68,3353607.05714208,1556235.717091008,2839241.728857985,3353607.05714208,3353607.05714208
69,3345902.845095688,1568275.958506646,2855654.7755070576,3345902.845095688,3345902.845095688
70,3493350.3383384347,1616540.4782979316,2967634.835610073,3493350.3383384347,3493350.3383384347
71,3334181.201986442,1552547.5602832679,2828407.3327640425,3334181.201986442,3334181.201986442
72,3465748.372763623,1607432.235562446,2946724.273797826,3465748.372763623,3465748.372763623
73,3364705.25701272,1564786.7325634584,2856237.9054493904,3364705.25701272,3364705.25701272
74,3419531.7088023676,1588606.7969423342,2894054.101575649,3419531.7088023676,3419531.7088023676
75,3577398.795210306,1672851.7666299217,3027544.4692848586,3577398.7952103065,3577398.795210306
76,3465249.790436525,1584357.5646660712,2951889.28749423,3465249.790436525,3465249.790436525
77,3583303.5931237713,1642965.229581099,3046648.3756798045,3583303.5931237713,3583303.5931237713
78,3662404.5627255836,1677795.8581870715,3101653.548300843,3662404.562725583,3662404.5627255836
79,3634519.1573382244,1668369.6611914488,3088150.3637642255,3634519.1573382244,3634519.1573382244
80,3571680.244590251,1656793.170747059,3011323.025236775,3571680.244590251,3571680.244590251
81,3423999.4081404656,1567246.1709496235,2885684.4900961304,3423999.4081404656,3423999.4081404656
82,3794599.952389272,1734724.2017467169,3233762.7958817068,3794599.9523892724,3794599.952389272
83,3565216.1313626003,1656764.3486217656,3021784.260670583,3565216.1313626007,3565216.1313626003
84,3449525.3979601343,1613774.4033391953,2928068.6161309173,3449525.3979601343,3449525.3979601343
85,3725553.3311979026,1718759.6907195947,3172990.274598318,3725553.3311979026,3725553.3311979026
86,3474140.784426234,1632910.8209410822,2950172.695457371,3474140.784426234,3474140.784426234
87,3524338.7652205867,1646267.7584687173,2993932.0323870704,3524338.7652205867,3524338.7652205867
88,3461008.649846225,1614639.3315306483,2955597.6073208214,3461008.6498462255,3461008.649846225
89,3556741.973293442,1629166.7121160936,3007755.2223969237,3556741.973293442,3556741.973293442
90,3442010.27929605,1601307.620644124,2925954.0295144506,3442010.27929605,3442010.27929605
91,3516036.667760156,1613495.3427339615,2970716.4292557947,3516036.667760156,3516036.667760156
92,3427694.515511719,1587774.2176245695,2906583.8281594994,3427694.5155117195,3427694.515511719
93,3584709.7318320163,1658123.5396908289,3040478.34295859,3584709.7318320163,3584709.7318320163
94,3537739.3453265345,1652644.7031787727,3020840.586193487,3537739.3453265345,3537739.3453265345
95,3505353.632660051,1643715.6409297436,2985197.8452527905,3505353.632660051,3505353.632660051
96,3386143.2167465272,1592647.6386786976,2881232.76385085,3386143.2167465272,3386143.2167465272
97,3388878.239600049,1559654.252605812,2858138.0064283647,3388878.239600049,3388878.239600049
98,3497391.9858907806,1648151.8974809896,2978951.402903642,3497391.9858907806,3497391.9858907806
99,3503303.962654262,1619015.619516722,2988314.9235436805,3503303.962654262,3503303.962654262
100,3319200.125572351,1547014.7837088485,2809944.8389862236,3319200.125572351,3319200.125572351
