normalized_median,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
9724.989122395644,12528.790605794615,9622.311671313693,9724.989122395646,9724.989122395644,Project 208
22477.815911966896,19661.057951403123,22032.761093629215,22477.8159119669,22477.815911966896,Project 209
11342.688680602798,14138.650296932477,12173.553317735283,11342.6886806028,11342.688680602798,Project 210
18325.533584130604,17497.52961486284,17838.693764857893,18325.533584130604,18325.533584130604,Project 211
6505.237447035453,11185.93196520866,8609.777730949705,6505.237447035454,6505.237447035453,Project 212
8917.627987922771,12958.710122684233,10661.24377585588,8917.627987922771,8917.627987922771,Project 213
28911.20243510939,21818.764952227884,27118.73070433896,28911.202435109393,28911.20243510939,Project 214
13153.624605631205,15101.269075516406,13713.448033387083,13153.624605631205,13153.624605631205,Project 215
11859.920735350492,14479.135578920066,12559.172779116961,11859.920735350493,11859.920735350492,Project 216
31823.456595358137,22965.374183546133,29716.01222303521,31823.456595358144,31823.456595358137,Project 217
11118.167177106252,14052.9830014351,11817.01676377236,11118.167177106252,11118.167177106252,Project 218
17050.473319511984,16847.650095675086,16268.480862326296,17050.473319511984,17050.473319511984,Project 219
31206.57149092075,22381.14996444374,28158.78922310237,31206.571490920753,31206.57149092075,Project 220
11849.065551157195,13678.552427055944,11397.830617524629,11849.065551157197,11849.065551157195,Project 221
11827.457178611246,13815.828635631082,11644.192111306129,11827.457178611248,11827.457178611246,Project 222
17286.460156461253,17035.233928712503,17028.95942145701,17286.460156461257,17286.460156461253,Project 223
7768.248141060559,10919.06647503082,8002.940039589606,7768.24814106056,7768.248141060559,Project 224
12506.737493379378,15108.882250507757,13723.353420814352,12506.73749337938,12506.737493379378,Project 225
24126.293321003646,19933.135609708654,22585.39163700559,24126.29332100365,24126.293321003646,Project 226
20382.13881229808,18514.06515755632,19661.515150706564,20382.13881229808,20382.13881229808,Project 227
14092.80268562317,15378.774375363273,13822.764929428937,14092.802685623172,14092.80268562317,Project 228
6310.525675473433,11062.359506814437,8097.244468424204,6310.525675473433,6310.525675473433,Project 229
19063.6356745185,18050.00612043771,18651.361306213614,19063.6356745185,19063.6356745185,Project 230
11458.710278856599,14702.492966726591,13035.429263905462,11458.7102788566,11458.710278856599,Project 231
20368.139352484373,18330.342155581624,19221.486698290442,20368.139352484373,20368.139352484373,Project 232
24818.89864403546,20160.870043998424,23058.751004649985,24818.898644035464,24818.89864403546,Project 233
18591.700963679323,18021.5110452933,19092.050140253243,18591.700963679326,18591.700963679323,Project 234
9939.942239003054,13000.456390481388,10921.444978111507,9939.942239003054,9939.942239003054,Project 235
21674.764422385313,18908.8068834031,20466.07623108214,21674.764422385317,21674.764422385313,Project 236
10696.826661952744,13849.041375717721,11783.283421550186,10696.826661952746,10696.826661952744,Project 237
9526.092985722637,12911.72526623198,10368.897094529359,9526.092985722638,9526.092985722637,Project 238
10642.057684704288,13020.218339553097,10937.171543977505,10642.057684704288,10642.057684704288,Project 239
12285.69116769914,15174.467437854799,13970.730233540724,12285.691167699142,12285.69116769914,Project 240
