project_name,application_id,median_score,adjusted_score,final_score
Maverick Protocol,0xeb377d41abbae2f67ac73ca422839208377f5823d189b3435874946e194324ea,74879.2,81668.8,81776.4
Moonwell,0xd4f0252e6ac2408099cd40d213fb6f42e8fa129b446d6e8da55e673598ef14c0,73396.1,80051.3,80156.8
Tarot,0x526522707f6c225a9bc7ea54e572f995eb3c794f34756f514d976c61729e8a8d,72476.0,79047.8,79151.9
LogX,0x6af74a9a8d1b53bc559f1341fdc76464ad4624641f9c5749ab327040b6319d2a,70509.5,76903.0,77004.3
fxhash,0xa2a580dae44336df1cbcb7a5303880f393068fb96116e10e180e10f5745dccd4,69546.9,75853.0,75952.9
Paragraph,0x9da706c1c51cd59ee70b5814c10246ed1a786cb1a77339e84d96ed006b5792ce,68988.2,75243.7,75342.8
Across Protocol,0x72723e07fe409557489a6643b43d9493a94c10ba68230b0527f01834cb6a550f,67684.5,73821.8,73919.0
Basepaint,0xc0901c8f9503f0bf91a1cca0c6c90e55af8719cc2237fb4a0bf0770b307cbd11,65533.2,71475.4,71569.5
Gitcoin Passport,0x120cdd8e43ae1efbafdf02eda876e1952c05a52870c8d5a8f56d9ec0f79f586d,63251.8,68987.1,69078.0
RubyScore,0x482720e73e91229b5f7d5e2d80a54eb8a722309c26dba03355359788b18f4373,61589.0,67173.6,67262.1
Compound Finance,0xd3d00c946f62ac8cf49a85e3ab7d295d3b56f68d0b9f1fa4d595742fa372cf78,60378.6,65853.4,65940.1
Decent.xyz,0x38c38455bb0fd71d2929fcf799279569ab5f5c5d3e1f92f8642ce87aa25accdf,57639.6,62866.1,62948.9
Zeronym,0xf7669f10edbb4ca465f6a6b5ec7e90521a0011e8b3233c43e3cd0dd22633d67f,55947.2,61020.2,61100.6
Multicall3,0xf1d9b05abe0f41beab3e5f4b829afd9a7ba3679829d4be72c45e0d340f7bffaa,54675.0,59632.6,59711.2
BaseSwap,0xca3f26e1c876e821d2384a5cb699c6be494f9810301c2e2be49c232656262642,52183.3,56915.0,56990.0
Extra Finance,0x512f97f1de28ad530f752d53bf4f56ed16d34a3121f0512cd5a0485c2074b312,51151.3,55789.4,55862.9
Owlto Finance,0x5bf4cb9356352d8d123d9925d213594088a16a5aacb407030a2b25de728217bd,50814.6,55422.2,55495.2
Thales Protocol,0x32544f86ae24d37df67bb6e7eb98eca5003932567225ed85e34f72bd0dc859db,50185.8,54736.4,54808.5
ParaSwap,0x40666399bef533ba8b13292f910c26f5523b057ed33a51d3d90d2fe0079a1c9e,49840.8,54360.1,54431.7
Supswap,0x89d5dbc8003e6b6919273e991bba7d6a951491a408e47978a22baa046d225941,49764.7,54277.1,54348.6
Balancer,0x1c33980ce1d1290b5300719114dbe2cade0b820cb2b45321b715fd53d7abc8d2,47917.2,52262.1,52330.9
pods.media,0x098fca4a62159ddfc2c45dc2931a727d56f039b8f68e31222b927aaf2ce75b9e,47224.1,51506.2,51574.0
CyberConnect Protocol,0xf0e2abf650dc97b4223f82ef94fc6251942fff0f4d75d49d63a4017610045907,45935.8,50101.0,50167.0
Sonne Finance,0x636ce56a00ff90ba0bbe96b4d581a09414da0d3ed44b71ae38b29b9be7ff20a6,44393.1,48418.4,48482.2
OpenOcean,0x24ff0fb2933e55b169a80d9bd35a00a7011795387717b27445ccdc0f8660d740,44213.2,48222.3,48285.8
Multicaller,0xfc54b4a9c537be25238cba3f05100b733aeee83a3eb3fdae60d651b3b913390c,43078.3,46984.5,47046.3
Orderly Network,0x52d9a9709aeb50c10afb0f67a35f1a538bc6897c9f45161d39c37fd566fbe19a,40371.7,44032.4,44090.4
Ethereum Attestation Service (EAS),0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5,40344.8,44003.0,44061.0
Superfluid,0x3ecbf66c1b21342b26acb0f7d4c6b8bbbef168ffafff3f425de3503fd8dfa535,40231.7,43879.7,43937.5
$ENJOY,0x3fd997714a3a9df6dce8a21992dcae361b34432d39b7fd7e04e52eaf0aeaa588,39536.1,43121.0,43177.8
iZUMi Finance,0x229cb4bd0c69afd89939b1e1364be950a79045c8233ee9278a6224814873c314,38082.0,41535.1,41589.8
Smol,0x79fa54d6c030c7803827e96933fc93b092f638079c738d13a27a08b3905b95ec,37815.8,41244.8,41299.1
Coinvise,0xc7bd0b2faaf873e06066c2a986c2b657ee4c9b31a61bfb5e91825e1dee546dbc,37354.9,40742.0,40795.7
Hyperlane,0xa47182d330bd0c5c69b1418462f3f742099138f09bff057189cdd19676a6acd1,35963.7,39224.7,39276.4
SwapMode,0x491ffd3c2e4c25ab7fbdbefe0f5fc8dc2beee5ab801287b9c6c93c9c3c810463,35864.4,39116.4,39167.9
XSwap,0x895299e2f466a5b500fbd80b8da1d2d2a9be6a71bcf772aed795aa0457e8baaa,35324.2,38527.2,38578.0
BLOCKS,0x306977dfc31135826a031cca8ffcb1f82d8f14c9371f0362274be1dfa984f373,35223.6,38417.5,38468.1
Avantis,0x6371518c95cfa543514e01a77d470c695fac36691cffa3a45e992b2c0cc6ba72,34487.4,37614.6,37664.1
Phi,0xfb9c6b3dcd75e0d0f4e0b0d4b27a4e1398ec6147eb1af3499eb8b87145bfa709,33773.7,36836.2,36884.7
Gitcoin,0x6aa80764b6082947c3b2de86fe12804eb475b0afb719de50b9eed60b86f20535,33171.3,36179.1,36226.8
Overnight Finance,0xf900c29f3adf3153dbfbd974303e590850c0d2ced1966490c705290a63ffea1b,33064.0,36062.0,36109.5
Alien Base,0x4bf2ac1013cbae40d5fd671442d4bf276e389de415b4b070c5038b3e9851667d,30118.7,32849.7,32893.0
Ironclad Finance,0x01d8c3bc48ed5f94c260dcc8698eb61f48b06f70b0596c65fbcb1f369c092be9,30104.4,32834.1,32877.4
Builder Protocol,0x46cd8d30b17201a2c573336842ad0e4ee866eb51d885027efe9dff78bff1c086,29070.8,31706.8,31748.6
Reserve Protocol,0xab1ddf597f6539acc5ad601c2a6d2899c0475cfd9cc3b837939b1084ba5d7a36,28265.3,30828.2,30868.8
Beefy,0x30769523b16315b6404ce3c6dbaf610028acdf3133dca8a4d427e0d19d3628c9,27430.1,29917.3,29956.7
Gloom,0xaf344305f30af57f984af95f7c8570fdfcf7520b55e605bb34095ba49f8a385a,26968.7,29414.1,29452.8
Ham,0xe2cffffc3c00303412781c879691480a5e6e91f936ca073321babb01c6969080,25887.7,28235.1,28272.3
Bored Town,0x5316b19c17eba417d70b924baa6a1c467b14069968424d14fcf1409f2a308873,25782.5,28120.3,28157.4
Wormhole Foundation,0x35e2308213d675d5c25463a80fd318c2ae2478f47c4fabc854f23ac40df196c5,25757.2,28092.7,28129.7
L2Pass,0xe20f59eb1c8f9cb72e07b8d0f067bac997614fd6db06d8c031c5c9235f760dcc,24956.6,27219.5,27255.3
NFT HOOK,0x37c2292c6316d1f9b796c3eeac2049e38f31eb3dee37db0e7987854de1b001d0,24876.6,27132.3,27168.0
Gamma,0x20528d941017e017af28e86bd57bec2c7c5467e6ed952941502e04493a966cb3,24830.7,27082.2,27117.9
