normalized_median,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
170889.80157952866,154633.3634180362,174088.61651641966,170889.80157952863,170889.80157952866,Project 36
90445.67616927755,103462.26905771789,80886.2344925287,90445.67616927755,90445.67616927755,Project 37
221650.8205003791,170122.269033887,205351.49199809373,221650.82050037908,221650.8205003791,Project 38
74151.39164458428,95845.7962245325,74782.68033659524,74151.39164458426,74151.39164458428,Project 39
69354.47495721588,94392.99594657742,74987.02885497264,69354.47495721586,69354.47495721588,Project 40
119835.27421592675,123941.55110918694,111334.65555478535,119835.27421592674,119835.27421592675,Project 41
403077.1152052322,227189.77386790258,363963.79751448106,403077.11520523217,403077.1152052322,Project 42
72200.55029392062,100103.8512203181,78953.80834081894,72200.55029392062,72200.55029392062,Project 43
78528.72822481947,108419.74846419532,90049.95073955975,78528.72822481947,78528.72822481947,Project 44
86926.81278723455,118340.88844709026,107706.29745591218,86926.81278723454,86926.81278723455,Project 45
164762.37346470891,148016.47838884554,159284.9558885514,164762.37346470891,164762.37346470891,Project 46
114843.65915086961,117541.55565109797,102770.83060852445,114843.6591508696,114843.65915086961,Project 47
90201.78014101203,106305.65416058025,85255.61509566529,90201.78014101202,90201.78014101203,Project 48
71812.38062783515,99524.61994112884,76948.3890698278,71812.38062783514,71812.38062783515,Project 49
114222.06241759389,134301.83868995123,135861.09387308167,114222.06241759387,114222.06241759389,Project 50
246077.52006039396,175619.30213156424,217922.31727123726,246077.52006039393,246077.52006039396,Project 51
147142.7346566628,142692.25893440406,146252.54906699408,147142.7346566628,147142.7346566628,Project 52
59694.23351051074,91436.29739326816,68864.13613220562,59694.233510510734,59694.23351051074,Project 53
164261.74417457436,146349.87084427776,155136.87574058762,164261.74417457436,164261.74417457436,Project 54
235682.7936466408,175812.31350639922,222672.8576235643,235682.79364664078,235682.7936466408,Project 55
82918.27329392504,108495.48596635465,91596.91386211553,82918.27329392503,82918.27329392504,Project 56
126866.40896117048,126859.0630802443,118970.59989312831,126866.40896117047,126866.40896117048,Project 57
148317.69497082863,140371.98761633036,142380.84168251316,148317.69497082863,148317.69497082863,Project 58
140233.65745580333,138178.9341612712,137935.1856012925,140233.6574558033,140233.65745580333,Project 59
132165.37653968149,133421.84197920936,129698.4874545054,132165.37653968149,132165.37653968149,Project 60
192896.9648924781,163242.8462978204,192368.96619560148,192896.96489247808,192896.9648924781,Project 61
85484.07953083847,107877.16455969136,88121.76020023612,85484.07953083847,85484.07953083847,Project 62
37709.28283491852,77245.35367973999,50913.1977339632,37709.282834918515,37709.28283491852,Project 63
