round,majoritarian_moving_phantoms_gini_index,r1_quadratic_gini_index,r2_mean_gini_index,r3_median_gini_index,r4_capped_median_gini_index
56,0.06546460967873609,0.027575271475977613,0.05349282885622302,0.08128830422335628,0.08128830422335628
57,0.06618542951474081,0.02738107278051019,0.05216925084416811,0.07908055991742756,0.07908055991742756
58,0.06251852216774059,0.027578808068125613,0.0542120541275009,0.07519903907902525,0.07519903907902525
59,0.06573936025081746,0.02865113805824619,0.05651567816525416,0.07898059689034674,0.07898059689034695
60,0.06737005429010347,0.028039342758414618,0.054578740292677515,0.07744476576812068,0.07744476576812068
61,0.06419301092810689,0.02644167097274102,0.05262488265088676,0.07779038166050176,0.07779038166050176
62,0.0655483631758591,0.028403079465552872,0.05674073015378294,0.07781330108669259,0.07781330108669259
63,0.0670386063665227,0.028786139281006918,0.05614038574906076,0.0797197446233302,0.0797197446233302
64,0.06684434105592665,0.02885163339581466,0.056647266940546635,0.07781394520739858,0.07781394520739858
65,0.06673482244541938,0.028997413927673327,0.05719534150721441,0.07858293825840451,0.07858293825840472
66,0.06804487444969587,0.027902933116518862,0.05370486860117044,0.0796079913023468,0.0796079913023468
67,0.06404679734351533,0.027315635009005464,0.05417198225025662,0.07653453865983709,0.07653453865983709
68,0.06527065626174697,0.02831341954288588,0.05522395936585978,0.08081495806512365,0.08081495806512365
69,0.06287259988070701,0.026914454492187705,0.053940168022458906,0.07628194552468374,0.07628194552468397
70,0.06611611328197091,0.02812882570681721,0.05552348200138238,0.075813833078389,0.075813833078389
71,0.0671290409054683,0.028743844167918493,0.05598882815796,0.08155358585159918,0.08155358585159872
72,0.06987097756890147,0.029156601706080556,0.05774077358341772,0.08080540269367215,0.08080540269367215
73,0.06705869519990408,0.02785908252022002,0.05538662328735374,0.07981962458106251,0.07981962458106252
74,0.06758073565590766,0.027593243805357187,0.054168724016074074,0.07831266321148786,0.07831266321148811
75,0.06259096851627081,0.026476712346441687,0.05244269584857755,0.07589968165801876,0.07589968165801876
76,0.07256080658010537,0.028980857184843705,0.05586348920543521,0.08414133900843898,0.08414133900843898
77,0.06462744620131101,0.02884014796568636,0.05732623592857848,0.0806272161055455,0.08062721610554575
78,0.06602810699202595,0.028500580056796156,0.056094589398788613,0.07800638154954256,0.07800638154954256
79,0.06602510532088307,0.028161353932801805,0.05510879833204845,0.08151829994590924,0.08151829994590924
80,0.062396363287497,0.028088446552692388,0.05507616036449373,0.07562253260130232,0.07562253260130232
81,0.06354090728239828,0.02755396576899402,0.05451417667471715,0.07726000294776274,0.07726000294776274
82,0.06161183932928062,0.02619292484032439,0.051791927806182594,0.07631132465296621,0.07631132465296643
83,0.06826305618255235,0.028741103099937656,0.05571464834348133,0.0844226789660018,0.0844226789660018
84,0.06755311351176235,0.027957932214533257,0.054793222161657336,0.08022985591718268,0.0802298559171829
85,0.0618917159958159,0.026748090646906742,0.053104770456273445,0.07674970346141893,0.07674970346141896
86,0.06806071523665252,0.027439567102441966,0.054152718869927736,0.08025288075793267,0.0802528807579327
87,0.06623684158150114,0.026746745435881073,0.05265454962974821,0.07764727396702857,0.07764727396702857
88,0.0663889733569244,0.02816146771675725,0.05493361259800508,0.08081816461245724,0.08081816461245726
89,0.06571781809524184,0.02687939179712846,0.052470223096200946,0.08138431858732861,0.08138431858732861
90,0.06063504718754022,0.02652805183831279,0.053254082140546444,0.07345939075786381,0.07345939075786381
91,0.06698871496313873,0.026988054855353886,0.052470847029826226,0.08173026742404706,0.08173026742404728
92,0.06403921243133179,0.027263422990378244,0.05370765610087885,0.07817053199633045,0.07817053199633045
93,0.06387893517286984,0.026695446308903595,0.05258752728841864,0.07668030106823624,0.07668030106823624
94,0.06631763598006285,0.028248842552848805,0.05531312370277925,0.07780197085514089,0.07780197085514089
95,0.06444417056148319,0.027278182376909686,0.052956081026152985,0.07532609807522565,0.07532609807522546
96,0.06502771264692296,0.02745968959727267,0.0533756802890167,0.07787078471053167,0.07787078471053167
97,0.0665688096692174,0.027791821354345738,0.05467017486817356,0.08074234951659005,0.08074234951659007
98,0.06581963653166824,0.027488689633626072,0.05443239407319329,0.07752542985292829,0.07752542985292808
99,0.06527116421266412,0.026834913873106214,0.0515029192108447,0.07715939430041882,0.07715939430041882
100,0.06439427191959712,0.027099006262025202,0.05334648561631541,0.08017560743514653,0.08017560743514632
