majoritarian_moving_phantoms,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
78914.20616044909,65536.25976853934,77208.29952911756,85980.41447577601,85980.41447577601,Project 89
56148.69969267637,55016.1515806575,55303.22343844502,59665.443280679574,59665.443280679574,Project 90
36891.346403218355,42195.98567239405,34880.514472040915,31097.12071349105,31097.12071349105,Project 91
31142.467821012422,38604.262248284285,30510.64443625134,25446.47018707525,25446.47018707525,Project 92
46980.07475117221,50571.27726099477,47509.47833677632,49112.908777180965,49112.908777180965,Project 93
72834.30336089675,62985.21918181207,71461.26607473778,77365.08127380461,77365.08127380461,Project 94
88832.2891068412,69911.27261617818,87568.82195021055,93931.87516089827,93931.87516089827,Project 95
30524.516190697166,37540.914297142954,29178.676505947144,22024.092077691905,22024.092077691905,Project 96
89279.16593961339,69858.43620780659,87490.99341305938,95248.35611420021,95248.35611420021,Project 97
24624.60705775372,34200.171597440356,25347.726105137375,21289.65131227927,21289.65131227927,Project 98
34893.583908088214,40310.88829560271,33680.31967778849,32999.77795910678,32999.77795910678,Project 99
34332.01113225145,41411.893345508426,33093.266699957836,30833.38865728797,30833.38865728797,Project 100
32347.06323840269,41648.463300042305,34244.156196014716,29079.841481666146,29079.841481666146,Project 101
37545.60152132752,43496.04315809875,38048.43543835228,32089.057299931035,32089.057299931035,Project 102
36236.775430571724,43537.01270050681,36681.66931290378,34555.61424015324,34555.61424015324,Project 103
54500.17519259315,54634.26440151698,54865.92908992201,53995.45434628097,53995.45434628097,Project 104
94410.70257165504,72026.01605667597,92950.3732447593,101948.45702205187,101948.45702205187,Project 105
33430.06375911072,44018.764529579144,37431.725554059194,32958.47056225509,32958.47056225509,Project 106
46829.684274631254,50921.70925805921,48522.22845539626,47798.5203779975,47798.5203779975,Project 107
32681.140644186715,39897.69335309876,33285.956911200934,28931.423749289166,28931.423749289166,Project 108
131260.61891508114,85334.72537670178,129416.982038658,146389.56560475184,146389.56560475184,Project 109
32117.458089658227,42504.05817052011,34866.49675482492,32197.716391253332,32197.716391253332,Project 110
35125.40928929476,41645.66661163404,33304.882330124405,33635.40487862777,33635.40487862777,Project 111
48338.199720967576,49648.24341058205,46424.07104324571,47455.997659102766,47455.997659102766,Project 112
34707.93262393201,39288.76597965817,32417.455344017137,28277.54647722875,28277.54647722875,Project 113
31997.27345726296,40245.5417634976,31706.714097369575,29832.661150107833,29832.661150107833,Project 114
46134.48328354813,47122.90950507411,42034.5206657828,43958.370402182285,43958.370402182285,Project 115
31586.933833190677,38400.31426460454,29890.782684162965,28522.645344107656,28522.645344107656,Project 116
67323.99508253265,60841.932348449074,67034.82319637944,71119.97690459805,71119.97690459805,Project 117
57555.67957207013,54878.801502940456,55057.04624656726,57481.699870139986,57481.699870139986,Project 118
111000.0742634866,78694.06965925696,110050.38674850093,124207.87922983506,124207.87922983506,Project 119
35342.82345509705,41247.63132541689,34037.06511779661,31421.41287938853,31421.41287938853,Project 120
36550.426324918975,43545.807510866136,35894.44898833948,35101.58458767539,35101.58458767539,Project 121
38846.35930772781,44703.46066229823,38535.056639080045,35836.28885060669,35836.28885060669,Project 122
49517.73172380873,51635.3326650213,48734.85245246172,51317.8518229238,51317.8518229238,Project 123
42097.85064756411,48108.72052421562,43799.65963208264,39888.798991875236,39888.798991875236,Project 124
30915.005227002115,38837.22938777713,30320.894408564887,25939.65234277382,25939.65234277382,Project 125
44223.21114663408,48099.48242608561,43160.291477103194,45435.80603628463,45435.80603628463,Project 126
92394.68363320622,72247.22420048487,93440.0969873637,101933.39268044567,101933.39268044567,Project 127
27014.99757304273,37417.87538617937,29261.303125829774,24082.147032849312,24082.147032849312,Project 128
29807.910665342708,35361.91001804427,26929.953673744425,21900.43233264791,21900.43233264791,Project 129
66885.64739471584,61073.575773893426,68008.40180904832,69089.27833070389,69089.27833070389,Project 130
70468.83294478482,62856.3498593324,71534.52392909116,75531.67840812009,75531.67840812009,Project 131
58446.27949997552,56455.13551089713,58587.996012947464,57758.95952450908,57758.95952450908,Project 132
45452.93351333619,48386.06623834481,43941.8791274962,45701.34621754364,45701.34621754364,Project 133
53795.376393246595,54350.69983384426,54481.9543022224,54022.32884724728,54022.32884724728,Project 134
46852.663318738625,51103.687863073144,48803.999712316196,49530.262533909445,49530.262533909445,Project 135
61152.01620248743,58861.57346386656,62953.25584162731,64165.784327238296,64165.784327238296,Project 136
44043.4671337308,48470.827640613796,44231.095336238846,42267.67578028414,42267.67578028414,Project 137
46059.03167971939,51301.0522480246,48556.327287054926,49081.22220980924,49081.22220980924,Project 138
57580.81963244415,56392.354556970226,58600.297953008034,58612.362282679125,58612.362282679125,Project 139
88530.08365420808,71288.35841417532,91219.14786574338,97181.61767502729,97181.61767502729,Project 140
38463.79708288212,43723.925395688944,36693.10781803764,36636.992213706944,36636.992213706944,Project 141
79760.57267078839,66249.89912177216,79982.49530279831,83497.70859368148,83497.70859368148,Project 142
30789.376306631482,41863.517313605065,34675.46975420721,31624.695722471166,31624.695722471166,Project 143
28844.263971327324,37345.51725875971,29120.65645865327,27321.22662044081,27321.22662044081,Project 144
36496.640697265684,43476.73740543466,36001.97571974626,35937.68249378017,35937.68249378017,Project 145
74438.37641797258,65454.78252601368,77466.90712619609,82556.91803393976,82556.91803393976,Project 146
30995.142935710774,40280.01898575087,31254.605499131878,29451.95753672836,29451.95753672836,Project 147
48722.7260916511,49975.89073616014,46952.88974152761,45066.37396156373,45066.37396156373,Project 148
37782.07510558711,43087.77636839198,36264.164261718186,34349.570260568515,34349.570260568515,Project 149
106916.55432839191,77225.06517293226,106612.62615139782,115208.34768880962,115208.34768880962,Project 150
70131.82113395836,62171.8404221714,70011.1379768915,75212.47331762391,75212.47331762391,Project 151
67219.83004820497,61214.47660592751,67874.86188931834,73846.77458297358,73846.77458297358,Project 152
176269.9863128585,99538.30459511669,175598.7133539373,198578.63138061418,198578.63138061418,Project 153
80983.35964288883,67626.82914349718,82102.45820667446,87506.95813516183,87506.95813516183,Project 154
30425.82733216119,37268.862109212,29869.472934465604,26764.930094792642,26764.930094792642,Project 155
56044.80011404697,55708.20364294351,57500.699292390724,56323.8035316815,56323.8035316815,Project 156
67862.13665971086,59435.06248427342,64810.48302835847,65401.32836915431,65401.32836915431,Project 157
75615.00196027487,65287.642946763095,77061.70154059843,78621.407776362,78621.407776362,Project 158
49358.620754839525,51959.422628643784,49844.61396240491,51738.21043256641,51738.21043256641,Project 159
45725.34652043736,47147.09663023709,41991.033598985094,40156.0096070638,40156.0096070638,Project 160
66668.62991112251,60759.952793946286,67131.7391116991,68629.18386083962,68629.18386083962,Project 161
