round,voting_rule,max_vev
24,r4_capped_median,3.293161330837239
25,majoritarian_moving_phantoms,3.9957072403263902
25,r1_quadratic,2.0542294254176485
25,r2_mean,5.894721264772235
25,r3_median,3.608511977008207
25,r4_capped_median,3.664502903202024
26,majoritarian_moving_phantoms,4.763001501165217
26,r1_quadratic,1.9291415749679797
26,r2_mean,5.863860857394117
26,r3_median,2.9424603420121764
26,r4_capped_median,2.405367192639428
27,majoritarian_moving_phantoms,3.2366334671090873
27,r1_quadratic,2.0021663022808047
27,r2_mean,5.8872350438704775
27,r3_median,3.259935782823202
27,r4_capped_median,3.3910949345856602
28,majoritarian_moving_phantoms,2.7150838181330803
28,r1_quadratic,2.014355265106194
28,r2_mean,5.876447522429158
28,r3_median,2.8146979148296465
28,r4_capped_median,3.111746627946429
29,majoritarian_moving_phantoms,4.313077965057694
29,r1_quadratic,2.1842735523671544
29,r2_mean,5.931453564986638
29,r3_median,2.717044454569713
29,r4_capped_median,3.1827246486051175
30,majoritarian_moving_phantoms,2.635375297194057
30,r1_quadratic,2.009571295800974
30,r2_mean,5.888398566677658
30,r3_median,2.6269406380932843
30,r4_capped_median,2.21590688383068
31,majoritarian_moving_phantoms,2.7752943674425192
31,r1_quadratic,2.0367203761248716
31,r2_mean,5.874538924416957
31,r3_median,2.386566038348181
31,r4_capped_median,2.4118102155535914
32,majoritarian_moving_phantoms,2.4506903829740776
32,r1_quadratic,2.1895622412130713
32,r2_mean,5.922881803747486
32,r3_median,2.98556309751754
32,r4_capped_median,3.376431671345041
33,majoritarian_moving_phantoms,3.744776291294355
33,r1_quadratic,2.0654789393156956
33,r2_mean,5.92493979243536
33,r3_median,3.0943088847401534
33,r4_capped_median,2.496373880064903
34,majoritarian_moving_phantoms,3.785855898866127
34,r1_quadratic,2.1120813260118942
34,r2_mean,5.931686085808977
34,r3_median,2.319753451215375
34,r4_capped_median,2.131595015070736
35,majoritarian_moving_phantoms,2.7903256571442325
35,r1_quadratic,2.0797115814594362
35,r2_mean,5.92155926601639
35,r3_median,3.344592816732816
35,r4_capped_median,2.525431537615188
36,majoritarian_moving_phantoms,3.377910226428707
36,r1_quadratic,2.0866575309746582
36,r2_mean,5.927896054917208
36,r3_median,2.143073585671398
36,r4_capped_median,2.1297383523522946
37,majoritarian_moving_phantoms,3.3617808537460223
37,r1_quadratic,1.9831659987241352
37,r2_mean,5.903776040284171
37,r3_median,3.616739690862005
37,r4_capped_median,3.5503762446635396
38,majoritarian_moving_phantoms,4.105393852856908
38,r1_quadratic,2.0985895908632344
38,r2_mean,5.912807580794718
38,r3_median,3.255288494371307
38,r4_capped_median,3.5193409957271524
39,majoritarian_moving_phantoms,3.091625603494033
39,r1_quadratic,1.9749107600827744
39,r2_mean,5.848188663835035
39,r3_median,3.114310664350128
39,r4_capped_median,2.7252376325734984
40,majoritarian_moving_phantoms,3.4041708746334134
40,r1_quadratic,2.1117902096647225
40,r2_mean,5.9230964437731375
40,r3_median,3.1831215179080052
40,r4_capped_median,3.420367884730484
41,majoritarian_moving_phantoms,4.680301957449944
41,r1_quadratic,1.989482785632802
