round,majoritarian_moving_phantoms_l1_distance,r1_quadratic_l1_distance,r2_mean_l1_distance,r3_median_l1_distance,r4_capped_median_l1_distance
84,2621964.9915945716,1211510.4938549162,2344260.2446343075,3358152.00750642,3358152.007506421
85,2763207.728925961,1225959.724539311,2356306.1710456437,3430406.5364353773,3430406.5364353773
86,2811905.920184498,1239966.0971165027,2367582.8338704035,3312359.699365243,3312359.6993652424
87,2938666.77836195,1248724.652480536,2390733.1672639675,3458184.429559705,3458184.429559705
88,2606621.5087309927,1249973.1798015153,2359622.841009572,3402452.658287248,3402452.658287248
89,2654112.5711087408,1218649.0650439057,2334446.9507230683,3463049.720760287,3463049.720760288
90,2790897.440875792,1209432.6402518172,2284497.5179572697,3350051.25703847,3350051.2570384694
91,2633049.121569516,1247866.8276569122,2359081.16532119,3302207.7332392,3302207.7332392
92,2811170.491926215,1257550.1703630914,2388591.775656213,3440515.13503924,3440515.13503924
93,2769336.017878119,1246246.7586384988,2372726.3869458446,3439290.1038726345,3439290.103872634
94,2845711.976838545,1254876.1434417712,2406687.880159322,3441224.9709163723,3441224.9709163723
95,2999136.9204852274,1269828.0263826563,2381223.40763422,3415847.7211173973,3415847.7211173973
96,2761947.344069575,1269887.6209403463,2369245.4744501356,3372652.7550252657,3372652.7550252657
97,3016621.8218050487,1308605.5447369139,2485503.3582567708,3461325.07217044,3461325.07217044
98,2853584.1502449154,1183450.3099535392,2237044.5372428107,3151356.650319459,3151356.650319459
99,2900167.1249259533,1298911.69929892,2431851.705613182,3549490.5348487133,3549490.5348487133
100,2793052.2338092793,1263000.4667792812,2393944.400508342,3603203.662629671,3603203.662629671
