round,desired_increase,majoritarian_moving_phantoms_bribery_cost,r1_quadratic_bribery_cost,r2_mean_bribery_cost,r3_median_bribery_cost,r4_capped_median_bribery_cost
39,1,1.9344521369765983,3.5190406922499493,1.433683244990721,1.0426787236296153,1.0426787236296153
40,1,1.4409814897252209,3.737378528129212,1.284723869044416,0.7478763057676385,0.7478763057676385
41,1,1.2279067927767682,3.4361783780949042,1.1936253851994865,0.7363239381631936,0.7363239381631936
42,1,1.7823601530873294,3.917895183437573,1.3059650611458586,1.068516868210248,1.068516868210248
43,1,1.1261743128351909,3.378522938505575,1.376435271243011,1.1261743128351909,1.1261743128351909
44,1,0.8852022518364624,2.6556067555093885,0.9737224770201086,0.7352135770494125,0.7352135770494125
45,1,0.9389334928038074,2.7229071291310416,1.0328268420841882,0.8450401435234267,0.8450401435234267
46,1,1.3543186812083103,3.570476523185544,1.3543186812083103,1.1080789209886177,1.1080789209886177
47,1,0.6767980531118009,1.6543952409399576,0.8271976204699788,0.3759989183954449,0.3759989183954449
48,1,1.2322743321343002,3.2250941194408362,1.1295848044564418,0.9242057491007252,1.0268952767785835
49,1,1.714724987739497,2.6736434660007444,1.1764031250403277,0.6416744318401787,0.6416744318401787
50,1,1.1467564659378024,2.5581490393997126,0.9703323942550637,0.48252744063019376,0.48252744063019376
51,1,1.0821634281592887,3.246490284477868,1.1903797709752175,0.9739470853433598,0.9739470853433598
52,1,1.3051888074018976,3.3717377524549006,1.1964230734517394,0.8768472682212405,0.8768472682212405
53,1,1.5947034661129775,3.794460269937243,1.346421386106763,1.1960275995847331,1.1960275995847331
54,1,1.6104718799120465,3.90746936981113,1.4327387689307485,1.302489789937044,1.302489789937044
55,1,1.1676826312643922,3.184588994357432,1.1676826312643922,0.9553766983072298,0.9553766983072298
56,1,1.379288718848557,2.966902934078001,1.2087382324021485,1.2068776289924874,1.2068776289924874
57,1,0.8506168776987929,1.9138879748222852,0.7797321378905602,0.7088473980823274,0.7088473980823274
58,1,1.1175856901994263,3.4543557697073175,1.1175856901994263,1.1175856901994263,1.1175856901994263
59,1,1.3985376938492402,4.015148871583379,1.4247302447553913,1.1188301550793922,1.1188301550793922
60,1,0.7064200105385917,2.119260031615774,0.7770620115924509,0.5651360084308733,0.5651360084308733
61,1,1.0554647998531235,2.1768961496970674,0.7256320498990225,0.5936989499173821,0.5936989499173821
62,1,1.7253131673602837,3.2309210868717306,1.186152802560195,0.9423519836709215,0.9423519836709215
63,1,1.310841194298517,3.8014394634657003,1.4419253137283687,0.9274008738301867,0.9274008738301867
64,1,0.5681340467351049,2.029050166911089,0.8927820734408792,0.4869720400586614,0.4869720400586614
65,1,1.3603946108950495,3.5864948832687684,1.3603946108950495,1.1130501361868586,1.1130501361868586
66,1,1.5670376955792515,3.9888232251108247,1.4824972421270532,0.8547478339523191,0.9972058062777056
67,1,0.9175760996040574,2.752728298812172,0.9175760996040574,0.8341600905491431,0.8341600905491431
68,1,1.483136834376681,4.044918639209133,1.483136834376681,0.9438143491487971,0.9438143491487971
69,1,0.9100108937392312,3.336706610377184,1.1122355367923937,0.8088985722126499,0.8088985722126499
70,1,1.515621058638634,2.9275636297395806,1.110455169901221,0.7066532899371406,0.7066532899371406
71,1,1.091237919471403,3.055466174519928,1.2003617114185434,0.9220318235870224,0.9821141275242626
72,1,0.9209641091247626,2.7628923273742876,1.1256228000413764,0.6139760727498417,0.6139760727498417
73,1,1.6841200896952988,3.480514852036948,1.2350213991098857,1.0104720538171792,1.0104720538171792
74,1,1.2447696054579784,2.022750608869215,0.8557791037523602,0.5445867023878656,0.5445867023878656
75,1,1.5177171321877485,3.5024241512024954,1.2842221887742489,1.4009696604809987,1.4009696604809987
76,1,1.8556181820861648,2.835286086088319,1.1551165535915373,0.8400847662483908,0.8400847662483908
77,1,1.6138410700716117,4.222631884001136,1.4664596693676615,1.1998306385735413,1.1998306385735413
78,1,1.1825960159550573,3.799045879322725,1.32574237816615,0.7860094922736673,0.9170110743192785
79,1,1.0383727078390241,2.5094007106109744,0.9518416488524388,0.9518416488524388,0.9518416488524388
80,1,1.4089787221822383,2.6348999764131555,1.0734777681683225,0.7807111041224164,0.7807111041224164
81,1,1.783984499714602,3.0984993942411507,1.032833131413717,0.9389392103761063,0.9389392103761063
82,1,0.8954829954738144,3.084441428854251,1.0944792166902175,0.8954829954738144,0.8954829954738144
83,1,1.5012830641269643,3.985930539603599,1.4059973290946177,1.2010264513015716,1.2010264513015716
84,1,0.6322095572546419,1.5805238931366048,0.5795254274834217,0.4214730381697613,0.4214730381697613
85,1,1.389838611282341,4.030531972718789,1.5288224724105752,1.250854750154107,1.250854750154107
86,1,0.9476729450140421,3.0325534240449348,1.0424402395154464,0.8529056505126379,0.8529056505126379
87,1,1.163498259147991,3.199620212656976,1.0665400708856585,1.0665400708856585,1.0665400708856585
88,1,1.6773408501452918,3.7235277770623516,1.2411759256874506,1.2411759256874506,1.2411759256874506
89,1,1.0614609150981016,3.505985659442529,1.297341118453235,1.0614609150981016,1.0614609150981016
90,1,1.8350418108330186,2.7645432571982584,1.169614454968494,1.169614454968494,1.169614454968494
91,1,0.9218667313606954,1.6309949862535387,0.7800410803821269,0.3545641274464214,0.3545641274464214
92,1,1.7749138501708321,3.569246446813879,1.2665068037081497,1.1513698215528634,1.1513698215528634
93,1,0.7497283556374722,3.4987323263082057,1.3493927556664773,0.7497283556374722,0.7497283556374722
94,1,1.2608920152270637,3.340467803345017,1.2670739943722482,1.0807645844803404,1.0807645844803404
95,1,1.284586736059806,3.318515734821164,1.1775378413881554,1.1775378413881554,1.1775378413881554
96,1,0.8897188888455169,2.588273131186957,0.8897188888455169,0.7279518181463319,0.7279518181463319
97,1,1.5995556475077686,3.8514485992962455,1.3666430513631833,1.118162496569877,1.118162496569877
98,1,1.1669216576051262,3.500764972815381,1.303673968234755,0.907605733692876,0.907605733692876
99,1,1.1060693257569865,3.7101210779869978,1.3164945760599034,0.9678106600373632,0.9678106600373632
100,1,1.4690745248833228,4.407223574649969,1.4690745248833228,1.3355222953484753,1.3355222953484753
