round,voting_rule,max_vev,project_max_vev,project_max_original_allocation,project_max_new_allocation,project_max_allocation_percentage
2,r2_mean,5918698.75034059,2959349.375170294,921998.091113189,3881347.466283483,0.1293782488761161
2,r3_median,2923127.7165898466,979605.9746800633,7702585.438613423,8682191.413293486,0.28940638044311623
2,r4_capped_median,38223.98713009828,0.0,1500000.0,1500000.0,0.05
2,majoritarian_moving_phantoms,2621838.102027219,965932.9210464819,3247134.545997578,4213067.46704406,0.14043558223480201
2,r1_quadratic,2201889.321063415,1085512.6020299387,1909238.9587543984,2994751.560784337,0.09982505202614457
2,r2_mean,5916357.977310908,2958178.988655458,1238629.856800027,4196808.845455485,0.1398936281818495
2,r3_median,2104534.433027001,783482.3756369972,3204822.049280884,3988304.4249178814,0.13294348083059604
2,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
2,majoritarian_moving_phantoms,3089063.9465155886,1320897.316243441,1868403.8758230952,3189301.1920665363,0.10631003973555121
2,r1_quadratic,2219299.2396368687,1109649.6198184318,3339669.69351506,4449319.313333492,0.14831064377778305
2,r2_mean,5845369.317709871,2922684.6588549353,1809564.5052785676,4732249.164133503,0.1577416388044501
2,r3_median,2689883.743043787,924636.4209277779,7310962.933771247,8235599.354699025,0.2745199784899675
2,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
2,majoritarian_moving_phantoms,4215197.200160689,1434137.5599232302,3638345.2905678763,5072482.8504911065,0.16908276168303688
2,r1_quadratic,2358314.5933615183,1113843.1298260372,2261423.1098979935,3375266.2397240307,0.11250887465746769
2,r2_mean,5923857.041617839,2961928.520808922,794141.2053549865,3756069.726163909,0.12520232420546362
2,r3_median,2742812.7755408473,795803.1445291964,5851369.423911126,6647172.568440323,0.22157241894801075
2,r4_capped_median,636146.1144567995,464396.2498411968,1035603.7501588032,1500000.0,0.05
3,majoritarian_moving_phantoms,2812660.0458800606,1102173.7092080587,3878859.9905030406,4981033.699711099,0.16603445665703664
3,r1_quadratic,2209826.2615702366,1070003.3605273424,1802737.0603436108,2872740.4208709532,0.09575801402903178
3,r2_mean,5901185.717367627,2950592.8586838115,1174626.183527523,4125219.042211334,0.13750730140704448
3,r3_median,2246945.9541038354,770175.1729845358,4274292.607725454,5044467.780709989,0.16814892602366632
3,r4_capped_median,410042.21869279677,0.0,1500000.0,1500000.0,0.05
3,majoritarian_moving_phantoms,3227131.4692879524,1613565.7346439743,2130977.0371225798,3744542.771766554,0.12481809239221847
3,r1_quadratic,2340011.3806592175,1121961.7367538442,2423540.4955160506,3545502.232269895,0.11818340774232983
3,r2_mean,5901125.626994961,2950562.813497479,1603169.2269102994,4553732.040407779,0.15179106801359263
3,r3_median,2718623.9712437936,1133924.5769211343,5858822.873417886,6992747.45033902,0.23309158167796734
3,r4_capped_median,138598.57539127255,0.0,1500000.0,1500000.0,0.05
3,majoritarian_moving_phantoms,3860344.4533154275,1765434.4066420053,2780770.2462862344,4546204.65292824,0.151540155097608
3,r1_quadratic,2191651.56552652,1095825.7827632618,2197576.4429964875,3293402.2257597493,0.10978007419199165
3,r2_mean,5903551.89948699,2951775.9497434925,1722554.8713005108,4674330.821044004,0.15581102736813346
3,r3_median,2649557.8979235208,1264507.8519254355,2975566.8082432384,4240074.660168674,0.14133582200562247
3,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
3,majoritarian_moving_phantoms,3809638.0471113166,1185394.8968200881,1730890.1470612974,2916285.0438813856,0.09720950146271286
3,r1_quadratic,2169922.8212804776,1050702.3377055996,2545509.761025043,3596212.098730643,0.11987373662435476
3,r2_mean,5879330.797754524,2939665.398877262,923433.7470944088,3863099.1459716707,0.12876997153238903
3,r3_median,2688262.4044192024,1045783.5489577171,1536135.295510069,2581918.844467786,0.08606396148225953
3,r4_capped_median,390471.7416733075,48711.33019705699,1451288.669802943,1500000.0,0.05
3,majoritarian_moving_phantoms,4906673.111879109,1918452.2289037926,2017816.0933476922,3936268.3222514847,0.1312089440750495
3,r1_quadratic,2199165.1459945366,1070663.475936043,2365646.106817399,3436309.582753442,0.11454365275844808
3,r2_mean,5884547.64890137,2942273.8244506866,1352920.212343039,4295194.036793726,0.14317313455979086
3,r3_median,2455335.732136239,808675.9332548715,1033444.8689690931,1842120.8022239646,0.06140402674079882
3,r4_capped_median,9775.499143008143,0.0,1500000.0,1500000.0,0.05
3,majoritarian_moving_phantoms,3014549.87968442,1016126.3613673691,2231631.5813058005,3247757.9426731695,0.10825859808910565
3,r1_quadratic,2162714.358913742,1081357.1794568705,2776193.4604802523,3857550.639937123,0.12858502133123742
3,r2_mean,5864463.390528751,2932231.695264373,1472630.905600855,4404862.600865228,0.14682875336217427
3,r3_median,2562944.151123455,883342.9711118471,4846406.986896233,5729749.95800808,0.190991665266936
3,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
3,majoritarian_moving_phantoms,4310138.848068407,2155069.401692208,1709309.812875328,3864379.214567536,0.12881264048558452
3,r1_quadratic,2234667.1645154147,1117333.5822577053,2705331.173336004,3822664.755593709,0.1274221585197903
3,r2_mean,5885844.0607554605,2942922.03037773,2584462.5344085647,5527384.5647862945,0.18424615215954315
3,r3_median,3019025.71731869,1019284.0644168844,7323320.949658223,8342605.014075108,0.2780868338025036
