round,normalized_median_social_welfare_avg_l1_distance,r1_quadratic_social_welfare_avg_l1_distance,r2_mean_social_welfare_avg_l1_distance,r3_median_social_welfare_avg_l1_distance,r4_capped_median_social_welfare_avg_l1_distance
43,2379224.4898282895,2880901.668829052,2381475.5375210578,2379224.4898282895,4802862.8244000105
44,2410447.9245520816,2972288.351537789,2435416.425678534,2410447.9245520816,4719600.700213976
45,2710590.975997305,3336940.4022924756,2689609.133509581,2710590.975997305,4922020.404504187
46,2580539.7116249115,2847734.991893515,2602162.532937874,2580539.711624912,4313323.264627373
47,2180759.654741264,2419170.8063795576,2204759.71659757,2180759.654741264,4388635.121730147
48,2508681.6557347775,2979277.7523248508,2497809.8666100297,2508681.6557347775,4724941.509160521
49,2621058.2740145065,2960997.3003103156,2630826.0274302745,2621058.274014506,5150679.615808172
50,2541518.4073601365,3281786.815369306,2548100.5666659297,2541518.4073601365,4940550.833689714
51,2341717.911792424,2501364.025261012,2302108.8831656897,2341717.9117924236,4362621.767519838
52,2634843.0163496113,2972962.1778020174,2703104.350446499,2634843.0163496113,4591070.252385145
53,2749461.1729766442,2910235.7797719864,2731897.437202166,2749461.1729766442,4591040.791644061
54,2998625.8688190966,3283503.1357091507,2876060.940688017,2998625.8688190957,5004399.657959954
55,2630753.4471139745,2896512.168995466,2664388.9210467706,2630753.4471139745,4679585.7408579495
56,2718551.8899534056,3598208.8251759694,2672081.9382610675,2718551.889953405,5350774.213722406
57,2484806.7292313194,3003508.633311971,2516542.5502161635,2484806.729231319,4798107.282075503
58,2315248.331475596,3198154.0037787175,2387292.122499224,2315248.331475596,4842223.565702954
59,2608617.2715885197,2771123.837325215,2647095.055515922,2608617.2715885197,4500977.693547494
60,2819314.741444468,3020286.443544142,2836930.120219392,2819314.741444468,4740321.032907936
61,2927800.503254806,3162238.2748068934,2951792.4993558093,2927800.503254806,4724136.245876056
62,2382218.1429461055,2803720.942384335,2380833.559997457,2382218.1429461055,4737774.375437138
63,2445095.61681992,2540560.6520965165,2421263.5247376985,2445095.6168199196,4429813.388048565
64,2341851.8082586415,3452689.1655344665,2447544.6350145624,2341851.8082586415,4921360.376254722
65,2258973.4333764063,2903100.9368911544,2313802.407775425,2258973.4333764063,4802823.17776295
66,3092803.9524152232,3414836.5367144844,3100566.6437308444,3092803.9524152232,4494458.827312724
67,2318108.611417767,2822765.77292093,2376412.761916241,2318108.6114177667,4642662.691576526
68,2742329.702004253,3093465.1825460396,2787347.6089424198,2742329.702004253,4554004.865075307
69,2424899.55090806,2797879.2721705185,2397984.5827468885,2424899.55090806,5007401.8941806685
70,2382314.878779384,2998966.7303369814,2411193.703249362,2382314.878779383,4600618.256799208
71,2612166.334620193,2859514.6158551136,2604069.3302357965,2612166.3346201926,4581127.115140327
72,2798427.9662549635,3093751.7825561203,2823181.1827951693,2798427.9662549654,4645854.36155626
73,2552610.740640339,2966486.486933998,2553585.0106039597,2552610.7406403394,4740792.158284198
74,2305267.708302562,2688016.235710423,2356047.346107323,2305267.708302562,4626706.063237671
75,2718655.630034442,2800380.0997623713,2734311.5916671664,2718655.630034442,4371537.607096436
76,2739192.2957582846,3275594.5681569893,2793883.2257948155,2739192.2957582837,4920338.252079936
77,2771068.7621281757,3775299.3822818743,2737042.8332999377,2771068.762128176,5065263.374174279
78,2625352.9476087485,3093537.638581772,2649499.97103848,2625352.9476087485,4463936.886028511
79,2456317.7347508143,3071355.8835485247,2478365.128320098,2456317.7347508143,4538961.322896878
80,2560830.7776030093,3065992.4336622455,2635843.536227879,2560830.7776030093,4298135.509013641
81,2623738.548942481,2973364.703178388,2673382.383411824,2623738.548942481,4497334.198892794
82,2575737.3999153054,2952502.0664456347,2614089.451439528,2575737.3999153054,4745223.633285781
83,2660231.5276170047,3231012.0928663434,2647281.8883493436,2660231.5276170056,4780380.681320997
84,2645524.605404765,3059293.5258266716,2669065.742893225,2645524.6054047644,4615229.50429479
85,2945752.1033258573,3327522.8481138977,2940507.1410608925,2945752.1033258573,4785701.04409994
86,2138203.4510021727,2908325.7823667284,2228313.6407196126,2138203.451002172,4776289.270417659
87,2549019.6338888337,3476468.33271459,2493932.748054323,2549019.6338888337,4910628.786419351
88,2703675.667889063,3663431.3720663204,2723452.7521287333,2703675.667889063,5171938.020001615
89,2797338.557039351,3138156.4930723016,2687747.973782365,2797338.557039351,4512075.270172682
90,2389976.3171211276,3246612.837954005,2501058.0864472305,2389976.3171211286,5010200.362828945
91,2625299.361254251,2845094.6125838864,2676750.055347073,2625299.3612542516,4590995.236717273
92,2335165.424908262,3523384.987596067,2358357.433501839,2335165.424908262,5200545.181031776
93,2554167.054528092,3167512.070825791,2502156.823515364,2554167.054528092,4718543.877486041
94,2229075.0091824057,2574126.860982438,2260144.098783341,2229075.0091824057,4669175.579819342
95,2557961.8812267957,2858805.3099356033,2603809.5008451943,2557961.8812267957,4426799.391375147
96,2863922.8117275415,3108385.1563186063,2935239.177254779,2863922.8117275415,4422856.083142343
97,2611867.8223783458,3330088.3025368485,2720161.3764495626,2611867.8223783458,4956649.075988216
98,2909595.5137691665,2964194.272759366,2878900.9201669116,2909595.513769167,4589982.183626877
99,2272397.575438405,2712001.510118767,2323664.464881635,2272397.575438405,4704953.490565199
100,2445288.7583758375,2931295.0960382186,2525926.5945291063,2445288.758375838,4559975.146116992
