round,normalized_median_l1_distance,r1_quadratic_l1_distance,r2_mean_l1_distance,r3_median_l1_distance,r4_capped_median_l1_distance
53,3348742.86819111,1801849.7331114914,3094696.013290304,3348742.86819111,4000000.0
54,3161909.491122222,1648914.0766321435,3006132.9512504893,3161909.4911222225,4027084.7776042875
55,3041493.075154891,1363398.6081444246,2541583.4907616465,3041493.0751548912,4000000.0
56,2777011.7539873254,1307350.337646179,2301387.368788381,2777011.7539873254,4000000.0
57,3044826.874654112,1455564.2317874504,2606068.8342970554,3044826.874654112,4000000.0
58,4056575.220531825,2048450.0201280578,3626567.969551962,4056575.220531825,4018852.9769116268
59,2561440.033229578,1226714.7692373353,2322116.073550117,2561440.033229578,4000000.0
60,2639209.9099238655,1188360.8886541096,2292337.2149677468,2639209.9099238655,4000000.0
61,3337802.660632031,1766353.1444508214,3129928.436671224,3337802.660632031,4000000.0
62,3653951.997699521,1816487.962329953,3704146.3921613735,3653951.997699521,4000000.0
63,3649852.445706153,1808636.7143529463,3491261.757341802,3649852.4457061533,4000000.0
64,3474801.009676649,1638111.6322846331,3046201.0295404634,3474801.009676649,4000000.0
65,2850101.346628138,1475458.3016984803,2622347.6741413847,2850101.3466281374,4000000.0
66,2402928.014772469,1292778.8803015207,2351114.7472785823,2402928.0147724696,4000000.0
67,3188840.8577371486,1766414.069474414,3332321.800212468,3188840.857737148,4000000.0
68,4245268.516091635,2002297.3071376719,3804252.8056647116,4245268.516091635,4000000.0
69,2856417.611647725,1365619.1664928477,2497932.06981804,2856417.6116477256,4000000.0
70,1208257.4453662443,697356.9399900101,1345392.8336480483,1208257.4453662443,4000000.0
71,3351422.9057543376,1418639.7492786876,2521871.0310998107,3351422.9057543376,4005977.585501953
72,1502214.2875520731,844604.1082231097,1587123.10101922,1502214.287552073,4000000.0
73,2184860.4590966683,1121552.1592842187,2108823.2448894223,2184860.4590966683,4000000.0
74,3678628.904071022,1667196.926190678,3122675.1209939187,3678628.904071021,4000000.0
75,4237292.6982912915,1982370.5406706412,3676674.3304639445,4237292.6982912915,4000000.0
76,2208955.212845085,992726.9464049857,1796516.7904007595,2208955.212845085,4000000.0
77,3486790.646864356,1742648.6467244201,3243852.0086541623,3486790.646864356,4000000.0
78,3957440.780085373,1893728.6894441512,3454164.3677964318,3957440.780085373,4000000.0
79,2949471.4249116676,1464558.3760960598,2701852.232704512,2949471.4249116676,4000000.0
80,2495098.22081992,1136349.5003402014,1949857.3168997583,2495098.22081992,4000000.0
81,3510565.115797923,1710197.6227880593,3106113.666217201,3510565.115797923,4000000.0
82,4268716.245647117,2012850.135767312,3672347.9308853825,4268716.245647117,4000000.0
83,2689975.0650839843,1503430.6603089562,2511052.8372967313,2689975.0650839843,4000000.0
84,2738378.2469882704,1364886.8456600034,2413186.198438232,2738378.2469882704,4000000.0
85,1988376.748637061,1100392.3266975912,2021740.367684713,1988376.748637061,4000000.0
86,3932865.759527837,1738696.4836874148,3042316.4933305504,3932865.759527838,4000000.0
87,3135880.613876612,1610726.0681217008,3114560.2181174723,3135880.613876612,4000000.0
88,3229536.0098314215,1476598.5240086792,2765130.943967936,3229536.009831421,4000000.0
89,4204559.863334272,1921182.0996705515,3554574.376190378,4204559.863334272,4022390.9643334677
90,3379112.0670815185,1640970.2963018024,3363751.9374229065,3379112.0670815185,4000000.0
91,3139670.8949067504,1455101.7350546839,2808873.9259610437,3139670.8949067504,4000000.0
92,3663301.4132325905,1636349.651574304,2950315.201369275,3663301.4132325905,4000000.0
93,3019635.549755267,1527505.8815661275,2849021.2614538097,3019635.549755267,4000000.0
94,4695778.3950265655,2351495.699512504,4396876.413385877,4695778.3950265655,4000000.0
95,4751496.734567571,2385911.5686816997,4660573.663742872,4751496.734567571,4000000.0
96,4245482.954651216,1920425.6616232086,3697297.624550867,4245482.954651216,4000000.0
97,3092528.642377169,1503625.497603781,2661052.7698417227,3092528.642377169,4000000.0
98,3051504.204833911,1670331.7872211407,3103161.5723074917,3051504.204833911,4000000.0
99,3634420.695755718,1660583.5171601647,2985932.7315968717,3634420.6957557183,4079960.8945916775
100,2447922.470248226,1085376.3483505342,2033584.6428754414,2447922.470248226,4000000.0
