round,normalized_median_egalitarian_score,r1_quadratic_egalitarian_score,r2_mean_egalitarian_score,r3_median_egalitarian_score,r4_capped_median_egalitarian_score
46,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
47,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
48,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
49,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
50,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
51,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
52,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
53,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
54,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
55,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
56,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
57,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
58,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
59,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
60,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
61,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
62,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
63,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
64,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
65,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
66,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
67,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
68,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
69,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
70,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
71,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
72,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
73,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
74,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
