round,normalized_median_social_welfare_avg_l1_distance,r1_quadratic_social_welfare_avg_l1_distance,r2_mean_social_welfare_avg_l1_distance,r3_median_social_welfare_avg_l1_distance,r4_capped_median_social_welfare_avg_l1_distance
35,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
36,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
37,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
38,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
39,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
40,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
41,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
42,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
43,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
44,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
45,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
46,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
47,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
48,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
49,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
50,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
51,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
52,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
53,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
54,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
55,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
56,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
57,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
58,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
59,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
60,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
61,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
62,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
63,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
64,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
65,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
66,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
67,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
68,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
69,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
70,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
71,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
72,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
73,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
