project_name,phantoms_allocation,median_score,adjusted_score,final_score,median_allocation
Copin.io,6066.274070257968,4523.8,4934.0,4940.5,5250.1477417165715
Pixotchi,4743.740391433254,4451.2,4854.8,4861.2,4343.943463863667
Infusion,4714.513121211565,4427.1,4828.6,4834.9,4613.200731530294
Kiwi News,5251.290890153312,4399.9,4798.9,4805.2,4778.528440927727
Clipper DEX,4809.825612790078,4279.6,4667.6,4673.8,4431.000799682907
The Open X Project,4679.256496313141,4148.7,4524.9,4530.9,4532.34531854186
Crowdmuse,4636.377964108439,4044.4,4411.1,4416.9,4100.3293929364
Receipts,4746.188213705847,4044.1,4410.8,4416.6,4348.691784962917
Whimsical Euphoria: A White Inflatable Sheep,3920.240566845808,3944.6,4302.3,4307.9,4301.1669163309025
Giveth,6919.017501808969,3933.1,4289.8,4295.4,3253.0865551176066
RMRK,5003.954322696942,3765.2,4106.7,4112.1,4262.007677479685
Hats Protocol,7337.045436077998,3745.3,4084.9,4090.2,3699.604417287697
Portals,3667.2349616237407,3535.2,3855.8,3860.8,3915.0168642103736
Umbra,3920.92656356221,3526.0,3845.7,3850.8,3774.7750982771668
Basic Dog Meme,4309.782448795877,3362.7,3667.6,3672.4,3410.3413289732175
Idle,4174.688218248954,3259.3,3554.9,3559.5,3597.203457247243
Your Brians,4319.621273036743,3224.0,3516.3,3521.0,3560.747284084504
Scry Protocol,4369.024294608418,3199.2,3489.2,3493.8,3787.571302529352
PAWS Wildlife Room Onchain Vote in a Frame,4365.552552470447,3116.7,3399.3,3403.8,3199.6027934926933
Bodhi,3939.237008536527,3112.9,3395.1,3399.6,3394.674854976135
HOMES,4473.386544751163,3053.6,3330.5,3334.9,3435.0904034291448
zkBob smart contract privacy wallet,3489.2661402304993,2936.1,3202.3,3206.5,3285.3727179383777
Union,3735.1209391947204,2915.0,3179.3,3183.5,3062.1447779883097
Gangster Arena,3070.3885165687507,2887.6,3149.4,3153.5,3104.1737258955736
Wombat Exchange,3726.6386548214364,2814.1,3069.3,3073.4,3192.260599254875
Base on Rarible,3148.7538577676264,2766.4,3017.2,3021.2,3129.8761220132074
Drakula.app,3565.4329230307685,2731.0,2978.6,2982.6,2705.3524475472877
Daimo,3001.0515922388854,2571.1,2804.3,2808.0,2884.8115704536417
Ethos Reserve,3148.662325365053,2568.7,2801.6,2805.3,2740.80929775186
Mintify,3015.6896616982954,2456.9,2679.7,2683.3,2682.8086748309584
UNCX Network,2685.0755897745753,2212.6,2413.3,2416.5,2261.1481261055756
Mochimons,2989.2814457347254,2204.8,2404.8,2407.9,2562.7524787571256
Liquidify,3272.548061819666,2140.6,2334.7,2337.8,2451.3985751804844
Alchemix,2669.706396981451,2140.1,2334.2,2337.2,2058.2720484054926
ORA Onchain AI Oracle on Optimism,2588.4992019748784,2104.1,2294.9,2297.9,2216.299884011059
Summer.fi,2622.3845950250366,2050.4,2236.3,2239.2,2302.5348271995863
Astaria,3806.307025194983,2050.0,2235.8,2238.8,2278.255653183894
Based Onchain Dinos,3487.029049205398,1994.7,2175.5,2178.4,1896.5592233965126
Trash NFTs,3288.7680293259427,1841.0,2008.0,2010.6,1928.7948388836423
Crypto Composite,3389.9867543926484,1672.7,1824.4,1826.8,1574.7329129542854
builder.fi,2068.399196931557,1627.0,1774.6,1776.9,1666.964339045968
Tokepad,2116.95412807037,1557.3,1698.5,1700.7,1685.2760292722203
ZKP2P,2229.9249287528087,1483.2,1617.7,1619.8,1482.7812847978723
Aragon,1670.8380387175737,1429.1,1558.7,1560.7,1456.6604237154172
Unitap,2411.1718904776985,1410.8,1538.7,1540.7,1430.6419959387997
/send,1254.8008199782682,1275.4,1391.0,1392.8,1320.0701057209978
PiraNFT,2285.4477562224833,1269.9,1385.1,1386.9,1315.5933320086551
IntentX,1426.5679652599536,1155.6,1260.4,1262.0,1297.0450757512294
Egg Wars: A Game on Base,1188.0577299932625,1140.4,1243.9,1245.5,1226.4181669840245
BaseDoge,2195.9769133865307,1067.4,1164.2,1165.7,1185.086984231525
Cygnus Finance,1453.478891720776,1048.4,1143.5,1145.0,1143.9747141241558
Pyth Network,1205.3375965474663,1003.3,1094.3,1095.8,1102.2750674183221
Oku Trade,2066.5146056244057,0.0,0.0,0.0,0.0
Sablier,489.91216302202713,0.0,0.0,0.0,0.0
CreateMyToken,0.270283884119696,0.0,0.0,0.0,0.0
INT,617.3869991256983,0.0,0.0,0.0,0.0
Poster,1.4021253145580463,0.0,0.0,0.0,0.0
Glo Dollar,1098.3901569772088,0.0,0.0,0.0,0.0
Preon Finance,1314.2961333766696,0.0,0.0,0.0,0.0
Ambire,121.64960373665774,0.0,0.0,0.0,0.0
Fractal Visions,549.7703646229688,0.0,0.0,0.0,0.0
LlamaPay,786.5943137448098,0.0,0.0,0.0,0.0
Archly,565.7921436717207,0.0,0.0,0.0,0.0
Sequence,922.1041220028853,0.0,0.0,0.0,0.0
Tiny Based Frogs,476.80501208216344,0.0,0.0,0.0,0.0
Base Runners,2022.0405374270788,0.0,0.0,0.0,0.0
DappRadar,484.25265405851405,0.0,0.0,0.0,0.0
DappLearning ZK redpacket,410.80437137500866,0.0,0.0,0.0,0.0
Based Bodega,127.32474406732139,0.0,0.0,0.0,0.0
Synonym Finance,1990.1481686186673,0.0,0.0,0.0,0.0
Beam,291.7076160494823,0.0,0.0,0.0,0.0
Based Onchain Cubes,268.1362416289109,0.0,0.0,0.0,0.0
Talent Protocol,90.55179827729505,0.0,0.0,0.0,0.0
Based Onchain Punks,1968.159071489492,0.0,0.0,0.0,0.0
Building Blocks,1876.8515735903811,0.0,0.0,0.0,0.0
