project_name,phantoms_allocation,median_score,adjusted_score,final_score,median_allocation
Biconomy,10672.65686329206,9138.1,9983.9,9983.9,9983.95908193512
Keng Lernitas,10203.824340704094,9083.4,9924.1,9924.1,9924.128959688824
NiftyKit,9385.745218479018,8915.0,9740.1,9740.1,9740.13585880163
Zerius,9414.90612818129,8600.7,9396.7,9396.7,9396.751580842027
dHEDGE,9784.23609561151,8529.2,9318.6,9318.6,9318.47894170338
tanX - The World's Leading Institutional DEX,10100.488515185785,8382.8,9158.7,9158.7,9158.757737779619
Get Mint,8941.502171928167,8158.3,8913.4,8913.4,8913.454395494495
Morkie,8375.810781202372,7699.8,8412.5,8412.5,8412.463833272572
DefiLlama,7819.980338928652,7478.3,8170.4,8170.4,8170.458086959229
Revert,9528.951744001048,7253.6,7925.0,7925.0,7925.016196903873
Opti.Domains,10097.839585685826,7140.1,7801.0,7801.0,7801.019579313838
Metronome,9435.055626611767,6725.9,7348.4,7348.4,7348.411458007844
Virtuals Protocol,7794.069783126071,6708.0,7328.8,7328.8,7328.8506737258
Circle.tech,7639.914919850456,6645.3,7260.4,7260.4,7260.445306297244
PRINT3R,7786.699964977973,6639.7,7254.2,7254.2,7254.230274770569
Exactly Protocol,7993.501270540865,6575.3,7183.9,7183.9,7183.874902900545
Aura Finance,7827.868237595003,6519.7,7123.2,7123.2,7123.1627194394
TLX,7544.598104777705,6452.1,7049.3,7049.3,7049.290421164267
Noggles ($NOGS),7716.425942963085,6057.6,6618.3,6618.3,6618.310191393598
Pheasant Network,6923.563335840292,5864.8,6407.6,6407.6,6407.624910496182
👑 King of the Degens 🎩 - Farcaster Frame Game,6868.267911334253,5816.2,6354.6,6354.6,6354.564190355916
Harvest Finance,8353.15977395127,5672.2,6197.3,6197.3,6197.266057118189
Blob Farm,6644.298651795123,5662.4,6186.5,6186.5,6186.571737725502
Velocimeter/Graphene,6938.110257912688,5561.8,6076.6,6076.6,6076.595809110355
Onchain Blobs - Randomly generated onchain blobs minted via a Farcaster frame,6962.181051217653,5327.5,5820.6,5820.6,5820.563616787855
Nogem,6199.059510892548,5295.5,5785.6,5785.6,5785.61304994489
MYSTCL ($MYST),5607.270340669501,5023.7,5488.7,5488.7,5488.736382798225
DackieNFT,5588.570253461836,4983.4,5444.7,5444.7,5444.548080547119
OmniHub,6083.136453415551,4970.5,5430.6,5430.6,5430.589452478964
3DNS,5669.63140446023,4937.9,5394.9,5394.9,5394.94250871867
Slugs,5903.17148617113,4928.7,5384.9,5384.9,5384.875390198323
Streameth,6428.36501152675,4917.9,5373.1,5373.1,5373.06285415582
Unlonely,7117.351793163005,4875.5,5326.7,5326.7,5326.723582551576
Arcadia Finance,5254.76422364308,4603.6,5029.7,5029.7,5029.679360264611
Copin.io,6066.274070257968,4273.0,4668.5,4668.5,4668.500185240559
Whale,4362.641623276349,4097.8,4477.0,4477.0,4477.047516465218
QiDao - Mai.Finance,4947.396760734206,4093.5,4472.3,4472.3,4472.346401486663
