round,majoritarian_moving_phantoms_egalitarian_score,r1_quadratic_egalitarian_score,r2_mean_egalitarian_score,r3_median_egalitarian_score,r4_capped_median_egalitarian_score
26,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
27,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
28,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
29,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
30,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
31,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
32,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
33,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
34,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
35,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
36,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
37,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
38,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
39,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
40,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
41,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
42,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
43,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
44,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
45,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
46,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
47,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
48,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
49,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
50,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
51,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
52,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
53,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
54,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
55,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
56,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
57,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
58,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
59,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
60,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
61,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
62,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
63,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
64,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
65,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
66,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
67,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
68,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
69,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
70,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
71,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
72,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
73,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
74,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
75,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
76,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
77,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
78,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
79,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
80,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
81,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
82,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
83,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
84,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
85,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
86,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
87,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
88,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
89,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
90,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
91,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
92,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
93,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
94,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
95,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
96,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
97,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
98,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
99,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
100,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
