round,voting_rule,max_vev,project_max_vev,project_max_vev_percentage,project_max_original_allocation,project_max_new_allocation,project_max_allocation_percentage
10,r1_quadratic,58748.26677081741,8929.891734967794,0.0008929891734967794,142673.17654965585,151603.06828462365,0.015160306828462365
10,r2_mean,183511.3215825433,91666.70977858281,0.00916667097785828,173.24497067222046,91839.95474925503,0.009183995474925504
10,r3_median,93633.80286155961,706.5155899600104,7.065155899600104e-05,24179.440106287493,24885.955696247504,0.0024885955696247503
10,r4_capped_median,81835.44401101522,4758.760264810582,0.0004758760264810582,345377.3767930438,350136.1370578544,0.035013613705785436
11,normalized_median,93857.9666167429,13367.12531328504,0.001336712531328504,730852.465737497,744219.591050782,0.0744219591050782
11,r1_quadratic,62914.942533240646,8729.623659152108,0.0008729623659152108,56340.18697781922,65069.81063697133,0.006506981063697133
11,r2_mean,183732.58624290276,91666.70977858288,0.009166670977858287,1537.5011955857792,93204.21097416866,0.009320421097416865
11,r3_median,93348.31214402648,2012.7134356718307,0.00020127134356718308,66086.04729780674,68098.76073347857,0.006809876073347857
11,r4_capped_median,82671.83107171374,3064.1333156640903,0.00030641333156640905,116776.65115392461,119840.7844695887,0.01198407844695887
12,normalized_median,90518.48368287142,1247.5064238843202,0.00012475064238843202,3289.736738299184,4537.243162183504,0.0004537243162183504
12,r1_quadratic,58748.26677081743,8713.246908514782,0.0008713246908514783,40997.74789012609,49710.99479864087,0.004971099479864087
12,r2_mean,183576.15721085842,91665.2027588499,0.009166520275884991,6528.344624193774,98193.54738304368,0.009819354738304368
12,r3_median,98021.63409450941,1546.2621480228554,0.00015462621480228554,68755.11597578881,70301.37812381166,0.007030137812381166
12,r4_capped_median,87927.93455346033,2149.342587422754,0.00021493425874227542,171791.64268348765,173940.9852709104,0.01739409852709104
13,normalized_median,94456.73623003901,535.8913785061086,5.358913785061086e-05,40209.422859378465,40745.31423788457,0.004074531423788458
13,r1_quadratic,54726.080410824165,8909.168695303291,0.0008909168695303291,142673.17654965585,151582.34524495914,0.015158234524495915
13,r2_mean,183530.22077867002,91666.62703454934,0.009166662703454934,250818.49266301325,342485.1196975626,0.03424851196975626
13,r3_median,95209.63449893729,6676.766461855703,0.0006676766461855703,137608.76912887057,144285.53559072627,0.014428553559072627
13,r4_capped_median,82421.61656443504,6425.3952978542075,0.0006425395297854207,216803.95137621052,223229.34667406473,0.022322934667406473
14,normalized_median,86043.34516379406,7188.090765770234,0.0007188090765770234,432568.6538336187,439756.7445993889,0.04397567445993889
14,r1_quadratic,56011.3477870717,8681.24214052999,0.000868124214052999,52081.40700983993,60762.64915036992,0.006076264915036992
14,r2_mean,183511.32158254134,91666.47434126824,0.009166647434126825,1212.7269710634398,92879.20131233169,0.009287920131233168
14,r3_median,98306.63214409581,7451.593779374496,0.0007451593779374496,432278.657836671,439730.2516160455,0.04397302516160455
14,r4_capped_median,84897.99980489879,8651.417861248541,0.0008651417861248542,486462.30072815786,495113.7185894064,0.04951137185894064
