normalized_median_distances,r1_quadratic_distances,r2_mean_distances,r3_median_distances,r4_capped_median_distances,changed_vote_l1_distances,round
332068.3532239442,85484.71267736075,87117.45140558126,332068.35322394664,0.0,1538309.0,49
106148.79495124216,58056.6540791702,90819.4985415045,106148.79495124434,0.0,1339889.0,50
3679.3545959554613,27761.36580566404,55369.25454262155,3679.354595955636,0.0,1235628.0,51
218861.64554728905,31876.16497892898,62939.04011247377,218861.64554728888,0.0,1088180.0,52
152842.48554171418,33861.46891017741,78210.97187362303,152842.48554171488,0.0,1314226.0,53
287281.17865767283,58812.37161027058,57600.162515028496,287281.17865767324,0.0,1331217.0,54
233354.187481403,42487.24556428578,74710.53400180739,233354.18748140396,0.0,1334717.0,55
137900.98915127083,31093.53059288801,70922.55853858811,137900.9891512713,0.0,965073.0,56
209577.15318556802,63970.66558447655,64382.93675221992,209577.15318556846,0.0,862090.0000000001,57
199019.824672494,49522.72899486002,61462.6898355913,199019.82467249563,0.0,1268479.0,58
227875.33129793027,30876.97545620677,56594.65730356489,227875.3312979313,0.0,947036.0,59
370374.3662489577,61319.22098504793,67405.52058309928,370374.36624895805,0.0,1410098.0,60
231310.07658323905,35328.706919215736,65005.339204572665,231310.07658323916,0.0,1326587.0,61
77034.23390426251,48130.43650788878,74555.24271584023,77034.23390426394,0.0,1218338.0,62
168795.77219320185,43521.673906151904,67984.58780636749,168795.77219320321,0.0,1261479.0,63
270623.9381707482,46207.31339254527,83799.02968083229,270623.938170749,0.0,1320324.0,64
888.2027328179392,28598.526726665907,79754.67895720404,888.2027328202676,0.0,1359937.0,65
303597.84948969947,56572.15489873174,72417.76705932344,303597.8494896999,0.0,1308559.0,66
353762.95095877105,30846.546775335737,59345.25381146313,353762.950958772,0.0,1404117.0,67
186568.64540276004,41545.36595818697,57101.9699366432,186568.64540276007,0.0,917361.9999999999,68
38684.266786888445,25902.48905409238,57530.01973429555,38684.26678688993,0.0,1422990.0,69
170463.65399852724,44225.640933157,51902.14345862542,170463.6539985275,0.0,1231139.0,70
220137.26073564417,68799.87488504226,72455.1209655074,220137.26073564548,0.0,1142205.0,71
311701.9080551716,77546.55414778681,81869.41507790732,311701.90805517277,0.0,1485695.0,72
213478.35673035626,69971.22806070896,82994.19928987976,213478.35673035844,0.0,1175732.0,73
239486.48676159023,52648.28717474791,62440.28030298394,239486.48676159096,0.0,1191801.0,74
36791.43115312583,31869.55353467434,72972.37079915433,36791.43115312894,0.0,1421983.0,75
228582.41159270293,80836.7711551456,97767.79874067265,228582.41159270465,0.0,1237133.0,76
134564.743521694,58892.32319043827,58200.454222504806,134564.74352169462,0.0,763908.0,77
227727.3925425112,28005.517165768077,55319.676491337945,227727.39254251117,0.0,1318450.0,78
239335.60277553246,41799.26990250574,45587.11527761043,239335.60277553383,0.0,1006311.0,79
262600.38725463534,46155.26469555119,53190.7084274611,262600.3872546356,0.0,1184539.0,80
200259.62892190382,33735.57116021396,60397.396667604684,200259.62892190408,0.0,1195760.0,81
275439.8184201799,58096.17340310395,65013.84761860955,275439.818420181,0.0,1076844.0,82
179279.33984218462,27736.87154694501,80552.72116133542,179279.33984218587,0.0,1802653.0,83
195773.46699107098,75056.59767083748,103916.2160894982,195773.4669910708,0.0,1656145.0,84
187672.26033787063,71271.64935316745,77658.08949980338,187672.26033787074,0.0,1398730.0,85
