round,normalized_median_egalitarian_score,r1_quadratic_egalitarian_score,r2_mean_egalitarian_score,r3_median_egalitarian_score,r4_capped_median_egalitarian_score
80,1.8171704141423106e-09,2930208.8230281156,4.391495167510584e-09,9.12223185878247e-10,619333.2790940373
81,0.0,2688489.0425517983,4.487901605898514e-09,0.0,618.3281246562017
82,3.587956598494202e-09,2434363.9961037925,5.053152563050389e-09,4.557477950584143e-09,67414.28085198638
83,0.0,2604840.733828857,3.396962711121887e-09,0.0,337984.5634683566
84,0.0,2732361.0691457805,4.069988790433854e-09,0.0,87742.43378631977
85,6.593978696400882e-10,2609130.7265628832,3.5040557122556493e-09,6.593978696400882e-10,120822.519459481
86,0.0,2660427.7952303207,4.3557975004659966e-09,0.0,331080.15348544024
87,7.032667781459168e-10,2411586.775056266,4.185835678072181e-09,9.298446457250975e-10,1600.351700046519
88,1.0196572475251742e-09,2702146.212361352,4.432308742252644e-09,1.0196572475251742e-09,80869.45567041227
89,7.863150131015573e-10,3325614.369196655,3.562703909665288e-09,8.81129835761385e-10,1124539.1901627723
90,1.6125341062434018e-09,2719801.100030464,3.7316567613743246e-09,8.280949259642512e-10,118820.13397771321
91,8.640199666842818e-10,2768543.340687988,4.958565114066005e-09,7.876224117353559e-10,181650.51306942088
92,9.572502790433646e-10,3031485.885098151,3.973156026404467e-09,9.572502790433646e-10,597166.1947317638
93,7.439666660502553e-10,2388918.0896085356,3.463810571702197e-09,1.7521415429655463e-09,7.439666660502553e-10
94,1.003741090244148e-09,2710523.106340924,3.726995601027738e-09,1.003741090244148e-09,300433.52040312695
95,1.8471837393008173e-09,2662528.7766725863,4.110802365175914e-09,9.235918696504086e-10,386825.3884343704
96,1.589341991348192e-09,2578726.8700388954,3.8628513721050695e-09,8.255938155343756e-10,1.589341991348192e-09
97,0.0,2435947.1341990265,3.801915227086283e-09,0.0,7533.075827506173
98,2.681645128177479e-09,2471391.7441150513,3.204149834346026e-09,1.8535502022132277e-09,2.681645128177479e-09
99,2.872866389225237e-09,3233395.2990718544,3.1163835956249386e-09,1.8331434148421977e-09,1075482.9296796978
100,2.630940798553638e-09,2540085.734116354,4.581352186505683e-09,1.7867023416329175e-09,95062.32066001599
