round,voting_rule,max_vev,project_max_vev,project_max_vev_percentage,project_max_original_allocation,project_max_new_allocation,project_max_allocation_percentage
12,r2_mean,146822.43477585347,0.00916667097785828,0.00916667097785828,1851.8258466633,75185.19366952954,0.009398149208691193
12,r3_median,78642.99061068788,0.00023951132017732745,0.00023951132017732745,39434.83604161518,41350.9266030338,0.005168865825379225
12,r4_capped_median,69089.30884210007,0.0004242991510633365,0.0004242991510633365,328263.8438525643,331658.237061071,0.041457279632633875
13,normalized_median,73950.0712485347,0.0007391677017528345,0.0007391677017528345,200873.44002675192,206786.7816407746,0.025848347705096825
13,r1_quadratic,45424.756535062945,0.0008694830426336644,0.0008694830426336644,26857.33734901936,33813.201690088674,0.004226650211261084
13,r2_mean,146747.2776339951,0.009166673786891028,0.009166673786891028,138.59597653777638,73471.986271666,0.00918399828395825
13,r3_median,75956.89657204949,0.0002466235435914832,0.0002466235435914832,39434.83604161518,41407.82439034704,0.00517597804879338
13,r4_capped_median,65006.411161441945,0.0005290632849863032,0.0005290632849863032,275478.71153649065,279711.2178163811,0.034963902227047636
14,normalized_median,83402.15481625014,0.0005559038060371168,0.0005559038060371168,182068.31377034562,186515.54421864255,0.02331444302733032
14,r1_quadratic,48757.127074163305,0.0008845075315653976,0.0008845075315653976,39971.624136866805,47047.684389389986,0.005880960548673748
14,r2_mean,146822.43477585347,0.00916653519091965,0.00916653519091965,10631.25245619177,83963.53398354897,0.010495441747943621
14,r3_median,78848.8452775203,0.00012855529355170983,0.00012855529355170983,10247.508831030125,11275.951179443804,0.0014094938974304756
14,r4_capped_median,64536.037885385645,0.00015611896743789294,0.00015611896743789294,93536.88363687482,94785.83537637796,0.011848229422047244
15,normalized_median,83705.11462803697,0.0002138629455311566,0.0002138629455311566,95852.34945470901,97563.25301895826,0.012195406627369784
15,r1_quadratic,43980.46141783797,0.0008735716618161096,0.0008735716618161096,135291.5520320265,142280.12532655537,0.01778501566581942
15,r2_mean,146897.31088257613,0.009166520909872846,0.009166520909872846,2240.988322676171,75573.15560165895,0.009446644450207368
15,r3_median,69680.2572610104,0.00027468785538877275,0.00027468785538877275,157414.65079767175,159612.15364078194,0.019951519205097742
15,r4_capped_median,66500.41017624969,0.0005319225992940191,0.0005319225992940191,275478.71153649065,279734.0923308428,0.03496676154135535
