round,majoritarian_moving_phantoms_social_welfare_avg_l1_distance,r1_quadratic_social_welfare_avg_l1_distance,r2_mean_social_welfare_avg_l1_distance,r3_median_social_welfare_avg_l1_distance,r4_capped_median_social_welfare_avg_l1_distance
31,21995430.436271213,22103755.785179272,22081327.00928348,22083282.31299239,22083282.31299239
32,21807440.568620194,21906658.58472333,21886751.10554315,21898342.16358311,21898342.16358311
33,21889633.072812136,21988054.963081423,21973207.980647825,21983703.998488262,21983703.998488262
34,21826233.656146735,21921283.358491592,21897644.995549217,21923031.955345675,21923031.955345675
35,21945932.488943405,22042136.811496213,22023679.305890832,22039808.131415475,22039808.131415475
36,21919866.396934554,22015777.55752185,21999682.732414495,22012160.702581353,22012160.702581353
37,21955738.49225141,22050863.054790124,22028491.2052606,22049370.978774104,22049370.978774104
38,21848317.504888315,21942836.43695186,21930661.620910436,21938061.9838258,21938061.9838258
39,21794161.939133406,21894243.918027144,21876619.30292789,21888048.158664715,21888048.158664715
40,21809128.142899986,21897692.754470315,21885005.640514657,21904894.454297386,21904894.454297386
41,21929808.837234057,22016252.63657512,22005216.07576116,22017328.470648643,22017328.470648643
42,21830241.951190952,21912690.783501524,21898325.90256132,21918125.73505739,21918125.73505739
43,21895547.486949135,21994603.24960782,21981504.951736216,21989181.33297163,21989181.33297163
44,21821771.984390844,21918829.654310476,21897195.322006408,21917891.108608905,21917891.108608905
45,21970408.56528049,22057340.379524577,22047585.27012481,22063265.34128216,22063265.34128216
46,21894798.75622659,21994339.797031637,21973656.20601835,21993157.972644135,21993157.972644135
47,21852239.581289973,21937358.630219482,21925101.282676384,21943042.69593421,21943042.69593421
48,21943655.703684054,22038595.90315062,22022806.056056283,22041264.576068565,22041264.576068565
49,21872912.39721213,21969092.12685933,21949882.082919158,21971585.905888926,21971585.905888926
50,21788663.78258059,21885724.778104752,21865463.542602584,21880524.841552366,21880524.841552366
51,21944326.32632874,22049603.10739308,22026000.492937967,22036093.05383498,22036093.05383498
52,21865789.019972965,21967021.590805806,21943144.480251323,21959777.3569745,21959777.3569745
53,21895898.98604528,21992020.30460513,21972253.665169153,21986961.339410633,21986961.339410633
54,21963164.579194397,22053680.834044524,22032803.43768404,22053709.47880827,22053709.47880827
55,21797728.96021851,21900785.475977965,21883247.589538354,21893433.503247187,21893433.503247187
56,21795853.441611376,21889997.030105,21869300.398515176,21895797.274358884,21895797.274358884
57,21869552.93859858,21965160.87736877,21950193.171919666,21973985.60725353,21973985.60725353
58,21786599.263196263,21881088.618400007,21863406.018743306,21881199.01109868,21881199.01109868
59,21773042.08073006,21871193.75750585,21856293.719720703,21868999.02599091,21868999.02599091
60,21956809.255522966,22055257.55432822,22038035.021091882,22051870.129773937,22051870.129773937
61,21796808.61655179,21903932.942280587,21881628.909733847,21891702.814925876,21891702.814925876
62,21843618.006788243,21943577.881549627,21930081.194510832,21937314.16767447,21937314.16767447
63,21936857.568629984,22025518.656280447,22011994.783450063,22034658.932400256,22034658.932400256
64,21947794.25588243,22046468.18115243,22027975.68601782,22038566.98897611,22038566.98897611
65,21875528.113075376,21970921.377463967,21950623.893575445,21964581.956714302,21964581.956714302
66,21917318.47120505,22024102.687240135,21995336.603201237,22009196.065592766,22009196.065592766
67,21782563.409388036,21876309.644563355,21856370.59052629,21867676.507552195,21867676.507552195
68,21894425.421351448,21988105.19189557,21970514.773274314,21988907.614835877,21988907.614835877
69,21881287.305636674,21979636.96819511,21956009.78919528,21978227.372693542,21978227.372693542
70,21925080.25271859,22011940.516002037,21997621.58110183,22015474.49261551,22015474.49261551
71,21915274.82710297,22011423.272860873,21993987.543233883,22006775.34030263,22006775.34030263
72,21853264.625721823,21948972.541733842,21927939.455800414,21952358.134839565,21952358.134839565
73,21930506.878261503,22022461.007270865,22005167.07099426,22020956.181704134,22020956.181704134
74,21857308.302031085,21958342.64844116,21933832.280837994,21951146.784810163,21951146.784810163
75,21944481.219689857,22035837.56183474,22018443.822679877,22031563.76180522,22031563.76180522
76,21834178.810634714,21928125.77125108,21907555.64377367,21929555.022970468,21929555.022970468
77,21963188.30305262,22057908.9614913,22044506.941008307,22048079.11278295,22048079.11278295
78,21949366.285120748,22052336.61957085,22031644.74951743,22050128.85597755,22050128.85597755
79,21924713.093214717,22018350.07852795,22002136.23709839,22022326.910723034,22022326.910723034
80,21785668.534444157,21881377.313661348,21861375.631523393,21884975.297434606,21884975.297434606
81,21892383.72342402,21988216.826399308,21971431.168152023,21989105.86375345,21989105.86375345
82,21902921.47271611,21995126.129052963,21979667.04946675,21998402.076054897,21998402.076054897
83,21846390.29336183,21944481.60700149,21923078.289623905,21942098.604926266,21942098.604926273
84,21936232.111831225,22035596.077340778,22013311.800385676,22034792.84759416,22034792.84759416
85,21983960.59445034,22074534.133631423,22060162.726255618,22069012.045719687,22069012.045719687
86,21841798.114866853,21936016.21315712,21916940.66738174,21944460.672012437,21944460.672012437
87,21930206.19867645,22021660.26034553,22006788.48174657,22031685.173274785,22031685.173274778
88,21802359.637368284,21901233.021015454,21881872.131205846,21904418.398048148,21904418.398048148
89,21895645.39216682,21992737.401058465,21974590.118250664,21987207.792865478,21987207.792865478
90,21845209.092422105,21938921.65250494,21916342.790858995,21942812.626881644,21942812.626881644
91,21803447.08982949,21896622.554034993,21885863.356190614,21906744.962073103,21906744.962073103
92,21846702.947620243,21939227.287979584,21919148.912048765,21937842.014566887,21937842.014566887
93,21945679.095859762,22035903.61905171,22017471.64627132,22042252.547320113,22042252.547320113
94,21839014.947404668,21923318.54828996,21912490.853086144,21924379.04987856,21924379.04987856
95,21840790.364186287,21919490.037445135,21907690.858635698,21925712.73740798,21925712.73740798
96,21782259.030355,21883746.556683756,21862848.481062487,21869754.92395789,21869754.92395789
97,21803910.805812255,21898878.387504987,21880284.323730048,21892683.265800867,21892683.265800867
98,21778558.074216075,21881963.280103043,21852037.977827296,21875898.317901924,21875898.317901924
99,21846073.40059726,21944717.807760034,21926911.612845287,21934241.154355053,21934241.154355053
100,21873401.982369848,21972635.745687958,21952504.076878376,21976237.539460152,21976237.539460152
