normalized_median,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
23163.27963608976,19688.09829157453,21895.92575571025,23163.279636089763,23163.27963608976,Project 121
7528.029705491637,11522.782386391613,8382.373431830936,7528.029705491638,7528.029705491637,Project 122
9456.912277606567,12476.370658843682,9923.57988416503,9456.912277606569,9456.912277606567,Project 123
27860.88627943538,21494.845721787737,25726.164244931337,27860.886279435384,27860.88627943538,Project 124
47658.18269193552,28060.28056503974,43734.64839917134,47658.18269193553,47658.18269193552,Project 125
7812.856161803898,11793.037369015052,9037.754687675639,7812.856161803898,7812.856161803898,Project 126
6668.534408496048,11329.066515244505,8249.672321007747,6668.534408496049,6668.534408496048,Project 127
8725.058604934398,12453.75058340509,9748.67733921206,8725.0586049344,8725.058604934398,Project 128
7290.005550150646,12242.86261626792,9733.353304285032,7290.005550150647,7290.005550150646,Project 129
10931.740626562236,13516.715018310482,11142.034551987676,10931.740626562236,10931.740626562236,Project 130
7490.021208705747,11639.683239518463,8725.728508590524,7490.021208705748,7490.021208705747,Project 131
13914.665787597349,15296.642054656273,13445.292719756497,13914.66578759735,13914.665787597349,Project 132
7810.627432558233,11390.847989420972,8374.47583706332,7810.6274325582335,7810.627432558233,Project 133
9642.565433513657,12956.738472859543,10360.474111963793,9642.565433513657,9642.565433513657,Project 134
13882.689345586521,15548.030410981199,14460.136873475036,13882.689345586523,13882.689345586521,Project 135
7634.218000778489,10821.334471920723,7850.874632443091,7634.21800077849,7634.218000778489,Project 136
23490.145075658256,19506.46081033991,21718.94356531946,23490.145075658256,23490.145075658256,Project 137
13046.40501856602,15242.103870161962,13679.42294460251,13046.40501856602,13046.40501856602,Project 138
8583.631157964657,11919.509768846585,9568.671036466043,8583.631157964657,8583.631157964657,Project 139
7417.1900253730055,11477.200302110348,8392.540185923748,7417.190025373006,7417.1900253730055,Project 140
8299.549075009814,12294.865137193405,9234.229541307523,8299.549075009814,8299.549075009814,Project 141
11736.184070160221,14724.695389870576,12920.215353235844,11736.184070160223,11736.184070160221,Project 142
27675.703591012327,21694.263004107546,26293.469597550742,27675.703591012327,27675.703591012327,Project 143
