r1_quadratic,r2_mean,r3_median,r4_capped_median,r4_capped_median_no_caps,Project
26062.762425777793,11260.968693346464,11108.41795814161,12500.794243257063,11115.870088108895,Project 69
12948.726529496782,2959.7573318087148,1948.4237324783344,2192.6474382014876,1949.7308409199222,Project 70
19385.296926987154,6189.765218988502,5743.2470403402895,6463.130016355637,5747.099922320434,Project 71
53650.49947841403,47098.45255574468,39434.83604161513,44377.765873627584,39461.29107099269,Project 72
8097.858804355353,1479.1004883685919,403.34821617533066,0.0,403.61880406105286,Project 73
35416.81795804633,21051.735576153467,19175.19992345953,21578.700920305295,19188.063688805487,Project 74
12518.686468013455,3069.0348142535395,2229.901661891819,2483.3389807164594,2208.217570597228,Project 75
20976.239965278757,6927.401935918843,7125.98302003598,8019.183996324545,7130.763516395596,Project 76
38406.9858737227,24239.462740775158,23927.8314482983,26927.047465231823,23943.88353694494,Project 77
52382.29167516718,42126.0612899245,46693.589610250056,52546.362442998434,46724.91420568082,Project 78
20895.51871144081,10631.252456192004,2312.598345677089,2602.4692440940858,2314.1497622243473,Project 79
11084.48778655078,2980.680902665858,610.326034759309,0.0,610.7354746048911,Project 80
34841.578531160536,20350.68278996375,19200.416435953593,21607.078177571682,19213.297117905415,Project 81
27035.533954098206,12069.619486266374,12501.46643766851,14068.453335583941,12509.853100200135,Project 82
32371.950284951592,16770.33206140337,16750.56136677172,18850.14786930964,16761.798552912944,Project 83
15934.765736644149,4864.924412772529,2441.983712890876,2748.072322743316,2443.621928168248,Project 84
34671.422283433254,18535.68016916477,19064.115384585173,21453.692573544475,19076.904628390417,Project 85
19836.50577132808,7153.902297968864,4954.489105367727,5575.505811902505,4957.812845694551,Project 86
20733.65313056179,11285.61198522373,2630.0250270377046,2959.6835338301576,2631.7893906394847,Project 87
33650.50277557238,18298.04891163509,18182.555421188998,20461.634140288286,18194.753266700987,Project 88
57370.59781531845,51946.88790925786,55004.09278063066,61898.5393760532,55040.99251285881,Project 89
71626.88569186963,76733.84489423732,79580.34153952767,89555.27953146868,79633.72835394429,Project 90
39971.624136866594,27514.78801913288,26488.24405033822,29808.39305706605,26506.013802791913,Project 91
32798.19831210093,18587.631691302384,15890.879628397306,17882.70997071783,15901.54009334664,Project 92
8060.409093167635,1437.4640511873126,446.8918412407697,0.0,447.19164055465893,Project 93
13870.992940841128,3566.244940700221,2557.2288420075974,2877.7627657977946,2558.9443699755348,Project 94
15183.205745477897,4142.280851886088,3279.4947811118436,3690.5605852242365,3281.694844291674,Project 95
9068.47119816719,1851.8258466634845,1116.2414738860466,1037.6360606009835,922.6795853070851,Project 96
82136.58257490228,103416.32684519622,98420.58067556213,110757.03425665073,98486.60654543972,Project 97
37947.19138601599,21895.481360746882,23101.486199986302,25997.124593949287,23116.983931368795,Project 98
21333.29652756946,7360.79410558274,7933.980622724283,8928.459450157148,7939.30316775106,Project 99
72934.63434786585,80767.92140197645,78079.93354515391,87866.80402674052,78132.31380441388,Project 100
18523.36431058139,7622.2206970862935,3397.025188240302,3822.822752742183,3399.304097199283,Project 101
87952.64882754532,124337.07232989497,116614.71326244566,131231.69669375074,116692.94474442663,Project 102
35498.7314982994,20049.30007473753,18621.61775732452,20955.730414364047,18634.110149693228,Project 103
144920.66844286543,315324.4159344225,345822.9262693331,389169.84058252163,346054.9230668912,Project 104
187980.90315145542,536931.3448348868,584289.9991308979,400000.0,584681.9725899914,Project 105
90321.4813135618,139420.3742177574,109004.84474970057,122667.97494196479,109077.97111865784,Project 106
27265.705292541756,12570.869301485662,11867.504885144346,13355.028349586546,11875.466251841632,Project 107
26733.53183641109,11806.772155374836,11211.13351652647,12616.384605970172,11218.654553667904,Project 108
25239.3770376638,10727.551931873833,8814.106357845945,9918.903882875622,8820.019339007767,Project 109
12238.106839434244,2881.5661031783493,1782.82001463282,1961.118860144387,1743.8525946832456,Project 110
8773.21602977117,1590.5314959114087,544.3949519915416,0.0,544.7601616866631,Project 111
58258.47614746901,51101.7500470034,52868.83783824531,59495.64251060952,52904.305125511106,Project 112
16864.880868007076,4667.486789536148,4388.045367129967,4938.061609787138,4390.9891062385805,Project 113
62079.69939908819,58364.564782072855,58163.76994054694,65454.26389056726,58202.78935578838,Project 114
59741.95711581737,53644.107629791055,56048.271844224764,63073.60027818104,56085.87206846901,Project 115
22693.37032452729,9346.898895449986,5874.788039580998,6611.1589231051685,5878.729166406274,Project 116
30520.392685553128,15009.955577636638,15452.750287547567,17389.663637519483,15463.116831544086,Project 117
11714.371602911146,2636.469716061698,1956.6135373644292,2146.246939864767,1908.4709096309393,Project 118
11944.054468579481,2606.6214347092014,1821.8442830640656,2050.2019830057,1823.066475137564,Project 119
26268.211156458383,12686.030706311387,9266.640323258227,10428.160377456647,9272.856888777207,Project 120
58430.250649551745,52197.04009354491,55953.331316920805,62966.75950196562,55990.867849903945,Project 121
19951.63391549692,6319.776043728426,6725.459263343373,7568.456890915173,6729.971066618059,Project 122
51868.4042405745,42070.88351486922,42279.088561750475,47578.529084379654,42307.45167016499,Project 123
45072.14958225508,33391.45805880398,32337.174614905824,36390.45341942111,32358.868147586454,Project 124
34363.22690819179,19853.073039385083,18082.728416326656,20349.294394664106,18094.859292463057,Project 125
65781.76767615607,65590.12965750946,65884.63222142709,74142.89184078477,65928.83121033902,Project 126
21691.83895682602,7493.922319293718,7786.884821865229,8762.926036892079,7792.108687041305,Project 127
17042.366430220198,5069.13514597665,4625.387478870769,5205.153189822379,4628.490439955911,Project 128
18675.979434260847,6082.698249548421,5291.098596862842,5954.307366666097,5294.6481531148775,Project 129
125040.79779652636,232188.09620905636,245526.55967587704,276301.9014344318,245691.27222450633,Project 130
10323.434764789235,2097.153729947459,1622.8651991169386,1773.0399072088476,1576.6103245957502,Project 131
11929.497073256505,3552.798672843311,630.3364115490325,0.0,630.7592754419537,Project 132
30849.687477297775,15761.685164310316,14174.252065082379,15950.913017977522,14183.760923047219,Project 133
17317.089710872948,4993.36532165332,4341.55900844823,4885.748453477357,4344.471561983171,Project 134
25145.726535353235,9767.248237099842,9961.063130225088,11209.625088311835,9967.745552271006,Project 135
18679.378436409712,6482.196323625939,4653.3291875297045,5236.597230915054,4656.450893430285,Project 136
46316.6748532452,32623.362306328945,31930.8965352298,35933.25071974655,31952.317514513175,Project 137
