round,normalized_median_gini_index,r1_quadratic_gini_index,r2_mean_gini_index,r3_median_gini_index,r4_capped_median_gini_index
49,0.28265233575855453,0.11936108098241613,0.233182794955839,0.28265233575855486,0.2797786572409638
50,0.2530078258395679,0.11018233764365162,0.20977965580510813,0.2530078258395684,0.2530078258395679
51,0.2891901590440627,0.1275923480037983,0.24217433097688726,0.2891901590440627,0.2891901590440627
52,0.2695996843660583,0.1208792090711201,0.2327475187388873,0.2695996843660583,0.2695996843660583
53,0.2552653145680533,0.11561038649663255,0.2239330270036307,0.2552653145680533,0.2552653145680533
54,0.27054105399318285,0.11701764636390195,0.2273155210880623,0.27054105399318323,0.2686601431454186
55,0.26317481549148386,0.12155055972313739,0.23063784675814344,0.2631748154914838,0.26317481549148386
56,0.2873361247608604,0.12680400499378675,0.2502575270345833,0.28733612476086035,0.28226411924153805
57,0.29204343238243524,0.1289104882179222,0.25075639837654495,0.2920434323824352,0.29204343238243524
58,0.26058392789243245,0.11617143701094612,0.2288169509243373,0.26058392789243245,0.2592795439308854
59,0.2619443587885879,0.11768444857859708,0.22886951798745647,0.2619443587885876,0.26076819928518635
60,0.28431769627131137,0.12120759379342601,0.2366876185840634,0.28431769627131137,0.27911235430338377
61,0.2606479645063229,0.11448509032224699,0.21989462697436885,0.2606479645063229,0.2606479645063229
62,0.25319587167529034,0.11079358488068303,0.2144228859758949,0.2531958716752907,0.25319587167529034
63,0.2536333331198719,0.11139664616742799,0.20902460199138592,0.25363333311987224,0.2536333331198719
64,0.2947132931854896,0.13341332978166306,0.25633136167157333,0.2947132931854897,0.2947132931854896
65,0.23072941334328506,0.10125411142730201,0.19718698494069856,0.230729413343285,0.23072941334328506
66,0.258728416819221,0.11721629958235955,0.22376644901704343,0.2587284168192208,0.2555939513163366
67,0.28237790547040514,0.1234533088856854,0.23590153842451497,0.2823779054704052,0.2781159148485667
68,0.28107339526103153,0.12397925706304244,0.23143415609083928,0.28107339526103153,0.28107339526103153
69,0.3195159867487284,0.13746190143199383,0.27007991688172783,0.31951598674872855,0.29868462728031486
70,0.30194681290263986,0.13706087981107926,0.25847153712382703,0.3019468129026402,0.30194681290263986
71,0.2974928761377038,0.12833642783230734,0.25318193913198384,0.2974928761377038,0.2809982698767557
72,0.28860971623222315,0.12781003303158447,0.24574217188076683,0.28860971623222315,0.2848078443294425
73,0.26543315647223387,0.11544573725914739,0.21722136186617985,0.2654331564722341,0.26543315647223387
74,0.26204847617349364,0.11693565072341461,0.22076982914745946,0.26204847617349397,0.26149585851320206
75,0.28927347949926485,0.127800458867252,0.24954519462740965,0.28927347949926485,0.279712971175645
76,0.25240850811749366,0.11106069959227338,0.20783478200450747,0.25240850811749427,0.25240850811749366
77,0.31147786438414904,0.13625201106367754,0.26612930379776073,0.3114778643841491,0.3106940634850569
78,0.2504590799885975,0.10884380383585511,0.21380717136935512,0.25045907998859723,0.2504590799885975
79,0.2504918850806446,0.1113615620335331,0.2108472336121676,0.25049188508064507,0.2504918850806446
80,0.3086078615723086,0.13235141280078191,0.26064171988030227,0.30860786157230935,0.2953617518506804
