round,normalized_median_social_welfare_avg_l1_distance,r1_quadratic_social_welfare_avg_l1_distance,r2_mean_social_welfare_avg_l1_distance,r3_median_social_welfare_avg_l1_distance,r4_capped_median_social_welfare_avg_l1_distance
34,2917221.2524507595,3337125.670273087,2896863.5032010134,2917221.2524507595,2899908.1570613035
35,2906303.743435613,3195212.9900473906,2884240.4635295137,2906303.743435613,2906303.743435613
36,2919788.8603391657,3288672.6119373054,2885058.8897132403,2919788.8603391647,2919788.8603391657
37,2918067.1123772534,3379360.562208172,2872163.548201201,2918067.1123772534,2989621.0557302353
38,2869191.284617474,3195823.6746491077,2840014.88704696,2869191.2846174734,2869191.284617474
39,2824053.296578449,3129370.8413518136,2806452.711930926,2824053.2965784497,2824053.296578449
40,2940259.604416716,3238286.0198913813,2898467.362713898,2940259.6044167154,2940259.604416716
41,2960289.83116325,3380389.0480408957,2922921.971128988,2960289.8311632485,2960289.83116325
42,2841497.807373631,3374759.571450308,2811033.953566811,2841497.807373631,2846012.7786571654
43,2922934.7063190877,3367502.1027038656,2880913.4945363007,2922934.7063190877,2902210.0220326213
44,2877985.7670503734,3415628.7577707493,2843420.933947503,2877985.7670503715,2848429.7546834676
45,3026765.3513470287,3461678.7968881363,2980544.250349977,3026765.3513470287,3010441.362820806
46,2895943.209649998,3198607.4286145414,2879555.7907141303,2895943.209649998,2895943.209649998
47,2831898.6508289557,3088906.9079014696,2807808.5000771494,2831898.650828956,2831898.6508289557
48,2916339.8145392803,3338223.353059283,2886575.0509488275,2916339.8145392803,2916339.8145392803
49,2890670.5354413195,3467151.2040789193,2859535.6171316756,2890670.5354413195,2861007.8968715128
50,2887980.5751313865,3198768.7628853256,2857561.028703834,2887980.575131387,2887980.5751313865
51,2878632.7365557672,3272484.4541969774,2847477.4005724704,2878632.7365557672,2878632.7365557672
52,2891116.5827761507,3289986.019219986,2851311.5295210513,2891116.5827761516,2891116.5827761507
53,2915131.7072579833,3544970.824021013,2875559.233959323,2915131.7072579823,3092697.5532482765
54,2898621.854056689,3203740.3541399697,2865630.2564128693,2898621.854056689,2898621.854056689
55,2906042.434641815,3125442.3055219143,2879368.043500253,2906042.434641815,2906042.434641815
56,2939247.8728960864,3470262.973657514,2892315.8580000694,2939247.8728960855,2908087.229279331
57,2920666.392044324,3433471.3699514964,2867856.514572847,2920666.392044324,2903790.0489656264
58,2912171.3084841203,3293484.6066291607,2869653.3257476594,2912171.3084841203,2909826.060224117
59,2855693.038331902,3200649.3588991216,2824095.5003782394,2855693.038331902,2855693.038331902
60,2905192.8434604397,3135291.3605898297,2885772.358589706,2905192.84346044,2905192.8434604397
61,2972943.5935511,3468256.831514022,2897325.332506395,2972943.5935511,2971624.390302177
62,2898478.9706995543,3491584.8138774326,2862865.5124081285,2898478.970699553,2869905.979840271
63,2965100.14071034,3284444.4775273628,2944794.449104417,2965100.14071034,2965100.14071034
64,2934750.338480993,3269840.4812875083,2905939.471408368,2934750.338480993,2934750.338480993
65,3055299.422146891,3500718.4033920267,3003481.604244684,3055299.422146891,3067230.222390679
66,2884604.372814025,3168804.259236985,2855787.3347868966,2884604.372814025,2884604.372814025
67,2842888.0171057186,3352479.32900417,2817291.117137054,2842888.01710572,2822688.95626069
68,2890959.8509523156,3255514.805007083,2860641.9540348873,2890959.8509523156,2889916.52694851
69,3042733.1745514204,3299511.920693296,2996400.24585679,3042733.1745514204,3042733.1745514204
70,2940034.124150482,3458795.1286368864,2909667.021859306,2940034.124150482,2911730.198528643
71,2914384.0093773487,3231888.935019603,2888367.116446286,2914384.0093773487,2914384.0093773487
72,2906425.9293680657,3250081.1818514355,2886458.128382475,2906425.929368065,2906425.9293680657
73,2862071.205306158,3110392.832164561,2839772.639587762,2862071.205306158,2862071.205306158
74,3012876.907512601,3363674.5303706876,2962397.115135525,3012876.907512601,3012876.907512601
75,2807407.7275031796,3125234.437006274,2779779.6609675447,2807407.7275031796,2807407.7275031796
76,2949226.753614649,3540944.1298037856,2893989.6746314457,2949226.7536146487,2938190.295231593
77,2908749.766042014,3240901.561700511,2869452.7833510796,2908749.766042014,2908749.766042014
78,2896014.5620463407,3123973.1755831917,2870708.4343381217,2896014.56204634,2896014.5620463407
79,2869569.6429397026,3247142.0093407896,2825938.0230553113,2869569.6429397026,2869569.6429397026
