Project,Mean Aggregation,Median Aggregation,Quadratic Aggregation
Project 284,47985.02697008076,45180.33986887276,49453.612058393075
Project 285,53517.204924589874,53535.81362519313,51308.90799354191
Project 286,44732.57889346472,36424.24689049826,46743.95479078632
Project 287,61783.02766896315,63765.55006727519,56058.59787453248
Project 288,53713.7221931497,54546.96128629998,51167.840198473976
Project 289,46106.73809538561,43704.396267941236,47442.07109934617
Project 290,50142.145525687076,53707.62854965564,49960.26818467795
Project 291,50346.16659138073,44664.97424077137,50422.220003808856
Project 292,52895.150460092256,59204.98396740854,52403.99358903985
Project 293,46837.68985441233,44575.389953994134,48421.36533878178
Project 294,51764.427818405806,53491.09732387399,51239.926303135355
Project 295,45882.62621764074,49709.704025923704,48831.275750235676
Project 296,49450.10715277822,51892.47687972532,50099.984082144234
Project 297,46786.48110546365,40738.005355552945,47605.76569214592
Project 298,44118.954745541516,43741.01360395071,46951.04200315695
Project 299,58201.33240109487,55659.265669649874,53201.20912480527
Project 300,50537.50453881639,44983.9634686987,49877.998643513165
Project 301,56033.4745064256,52733.08269688395,52134.539562858365
Project 302,47708.96603763821,51645.23367471989,49093.16670056952
Project 303,45795.469840909034,49967.32917939085,48825.04429817465
Project 304,46216.005161914945,45169.40783975283,47961.34420361924
Project 305,44846.08458290379,45558.35313793965,46896.65644132624
Project 306,49250.07805338265,46423.94225729894,49033.73861747385
Project 307,50041.40142057225,50340.50126721766,50772.26318973797
Project 308,56553.13936417394,63451.21253220764,53005.579016057476
Project 309,49057.90099358451,46802.77067940889,49750.49884150575
Project 310,43694.98788151788,42029.8862635257,47456.433444429786
Project 311,50133.06633354563,57575.19227875176,51261.66152386215
Project 312,49616.22923625561,49193.08942561125,50262.90036537502
Project 313,49945.59475083654,49505.89685381183,50141.03014899198
Project 314,55265.608121406935,56035.32744745567,53098.35438457186
Project 315,54511.00537266918,47058.91690058776,51501.27437678624
Project 316,48062.31634997995,53764.72364912643,50171.55996987349
Project 317,59668.510958992796,62222.09953712937,55907.881023769325
Project 318,43659.44039629143,40588.18947272359,46424.46423846186
Project 319,45856.41137485996,40017.200479279236,48277.67120168313
Project 320,46834.66819169719,52722.285808869696,49111.23101254041
Project 321,48288.805538382716,49632.840714875434,49147.713934462394
Project 322,57801.11570826248,58103.062225775444,54281.191672636654
Project 323,51760.25577416735,61747.135969914256,52283.77538361853
Project 324,48971.70866583688,49889.4167214947,48553.29134268428
Project 325,53831.005479258696,47604.61531051355,51832.456042731625
Project 326,56602.268567238214,57298.14331730028,52348.01209362373
Project 327,41611.07911159905,45896.35934088945,46227.52011677756
Project 328,54173.16677029817,56437.448041371405,52818.40390131453
Project 329,46621.3368310155,45671.575409821766,48389.45498429959
Project 330,49735.90225889568,55590.90433402842,51152.07425408814
Project 331,54196.344868817425,57749.36335809476,52420.73970284786
Project 332,57033.3458621843,61462.4049517015,53313.65441557064
Project 333,53078.008302481714,52160.85396186903,51969.94813346664
Project 334,45015.01460800037,43100.89682881417,46788.86730257544
Project 335,52350.368981420936,47439.36660907853,51067.84088967097
Project 336,51329.62818225694,56874.819815633404,50700.248924588814
Project 337,50164.13727901754,41699.57915658768,47870.19837316
Project 338,53240.7655636564,49871.504558496395,51611.59768616603
Project 339,55779.57891850179,57054.07564657394,53336.15324281863
Project 340,56746.29952444614,60351.900659492414,53872.632973518026
Project 341,51639.03480630598,55357.92786248407,51737.34581989196
Project 342,47312.180639674945,46645.65802714313,49224.48559580942
Project 343,51762.9369621117,52143.06249159454,51080.211758206926
Project 344,55630.69737132901,58293.123223702496,52935.4745867908
Project 345,48117.21225755028,41337.66784549296,48815.11123509071
Project 346,54507.55105849858,54808.65736110716,52546.83674447682
Project 347,54221.398456482864,59108.95835446821,52508.8587232995
Project 348,50429.3858662523,51631.6571824216,50467.38207081077
Project 349,46285.123200782204,47374.212005773225,48619.98777854031
Project 350,49587.54268040353,48409.9789840212,50494.14215360596
Project 351,44320.46286918154,39292.43058719117,46468.312970927436
Project 352,48446.696903744996,52980.668150088146,49753.170663460194
Project 353,47901.94373846242,43298.01013433522,48061.579841698556
Project 354,49140.056507655296,47468.331138790745,49360.70777407666
Project 355,58615.54417066269,57692.159868813316,55510.760625209645
Project 356,48177.11362199033,47913.905893215575,49691.73105047659
Project 357,50696.45271474634,45675.415409810375,49429.30026995101
Project 358,44202.29919866342,42571.8733481808,47894.300779686215
Project 359,51426.77616426533,52253.32774945099,50811.8331609837
Project 360,58157.62231469271,56975.06347816729,52737.355089150034
Project 361,50477.21199189581,46413.65678216954,50559.54287143813
Project 362,52431.79905004781,49942.906070114004,50796.78480460912
Project 363,53285.23961025399,62969.38471243338,53252.66317694031
Project 364,45718.37495162157,47239.87606000582,48189.86798542987
Project 365,49786.84335431392,40813.68460119515,50034.26991490726
Project 366,49956.51943520116,50220.17083242498,50076.80061625499
Project 367,45794.446333668,38982.605743883236,46681.744560319596
Project 368,48542.96197809841,50707.52843186961,49531.60428814286
Project 369,52792.17568051138,57371.33167825358,51197.924003320506
Project 370,49292.28696025444,52497.78176965223,50253.56923181213
Project 371,45211.750240259935,48704.634271789146,48192.54855871099
Project 372,50731.12773164134,55681.10606946885,50770.05865773013
Project 373,51638.290805372475,50184.15303796327,50058.93158914397
Project 374,48765.0189249082,52391.57976294993,48944.88970649704
Project 375,52116.86151799612,50963.01914322457,50871.269811084385
Project 376,52266.69307588216,45888.674652041875,50586.69327069367
Project 377,46906.86339632103,39999.69608258823,46845.336847666396
Project 378,46186.40811546914,55578.279482452686,48575.26410378647
Project 379,51841.04987975156,55664.85578907225,51098.5832231395
Project 380,42513.229540897766,39132.653079920434,46592.94515812241
Project 381,49684.60673189934,54780.089882367116,50238.215306245234
Project 382,48926.077710969075,55039.8133304201,50153.845819879236
Project 383,53524.23633172826,48462.5962852196,51569.901718869005
Project 384,49299.16056011573,50742.92146555091,50352.42148466603
Project 385,48854.23015578883,45981.94128826499,49502.5918691468
Project 386,43717.85561052517,48109.7056589212,48056.34367720521
Project 387,50639.90618101036,53992.49652220276,50793.97568875598
Project 388,44241.05152692893,39097.47780643797,45969.39176733549
Project 389,53374.01975472764,58054.56948676527,51713.351652167206
Project 390,45658.82233582516,44181.05505912558,46987.66414623898
Project 391,46903.312989339036,43712.3359189997,48298.09918785568
Project 392,52959.85790319562,55238.202689950325,52089.04431118629
Project 393,48757.08102704897,49792.85951059359,50301.18825717816
Project 394,46215.47491969125,48831.690224310565,48045.695765542296
Project 395,45693.16528922613,43899.360334351026,47403.29274443831
Project 396,47943.59044585392,49961.73144262838,49172.964484736265
Project 397,49617.76475841014,52364.91855431034,49984.295123066724
Project 398,55273.10977582163,62291.47293177674,53633.51391892111
Project 399,50750.03396405751,51523.3375738514,50820.42187983956
Project 400,43366.09610363391,43720.27416093912,46925.98143992916
Project 401,49959.82631187756,51497.43236970729,50547.587468862635
Project 402,51119.21611377248,47684.83323885675,50635.382212248966
Project 403,54656.32502933362,58793.64066985226,53153.71028160715
Project 404,61552.63991437486,68122.91073672795,54949.97888334385
Project 405,55458.13399418973,52624.710301499945,51713.944773532094
Project 406,44474.07033606019,45557.87240927588,47116.840006921535
Project 407,51758.25393492075,51243.71340400873,50975.97107159038
Project 408,34074.77800351421,33128.0092607653,40949.70108208197
Project 409,45272.29137595271,50324.94134626055,49321.768903585435
Project 410,55711.88404766263,49828.64773906309,52706.07373253062
Project 411,42382.94480871775,45718.00100329064,46625.49969121868
Project 412,49477.88843230456,54256.049198482506,49923.09978601359
Project 413,49655.98553688518,47296.50163676414,49894.70563371788
Project 414,54649.97684435949,45991.91398750417,51455.850159046066
Project 415,43797.34070806064,40936.97703889957,47014.18130715313
Project 416,53154.30691227796,53275.74861771962,50912.26334200924
Project 417,46490.52378834207,40722.73691289017,47730.73019829847
Project 418,54466.048494278555,52192.23059114675,52479.00101411331
Project 419,42861.68836849985,38630.42532234209,46771.93325975653
Project 420,46043.46710938349,49335.43700521034,48664.7607676843
Project 421,52305.58670213623,46290.43716269494,50398.44912134002
Project 422,55905.02542702747,56892.61013992453,53918.07380219436
Project 423,55810.80913010095,58909.908921442875,51921.47306191362
Project 424,45901.05631687454,43847.618327213226,48005.18337913502
Project 425,52840.56804011889,58674.190874646156,52470.15921684077
Project 426,48962.13222307007,44487.595582420254,49221.17265622625
Project 427,42450.05996468063,46798.05283863097,46715.65502230705
Project 428,46827.65811721074,53011.64273596747,49025.85503063192
Project 429,54381.30757757058,50534.711386313385,51832.65412013132
Project 430,50406.74490092054,53327.38616700147,50553.97390097459
Project 431,50858.13283494094,52437.110181607444,51456.56651555624
Project 432,47044.68342032533,52088.41980132084,48439.29957009643
Project 433,49334.38921811128,50899.77522947913,49823.38077075519
Project 434,50532.113844943284,51719.586810340596,50611.92361833337
Project 435,45495.73672073831,51441.4819857825,48356.03166231925
Project 436,45132.357110169294,47792.980658508335,47616.31781672229
Project 437,55050.53951912297,51413.77803667137,52775.510814277804
Project 438,46908.370472172275,45246.50251148118,48112.978004129196
Project 439,52212.43968076538,54546.35984347109,51281.32225241579
Project 440,46786.301284438814,50973.06377386632,49356.82866788606
Project 441,48232.561093437565,43785.06105155643,48723.50119769265
Project 442,53044.48512113807,51654.176291415744,50972.90214402133
Project 443,49408.1382616164,46188.830138041,49353.152982555206
Project 444,57543.71967580512,52806.65961201179,52484.10369227052
Project 445,56103.035564430545,58836.4723343778,52722.48175954812
Project 446,51929.07869947491,51131.89375543142,50412.960982018616
Project 447,51344.0716440086,49853.80809299068,50349.79810628531
Project 448,49189.81787831548,50013.19385631785,49076.95278053421
Project 449,51290.3307066842,48944.701259011985,50578.2384719761
Project 450,52336.039206469606,56058.277208592124,52504.13209609967
Project 451,52290.000918994614,53878.862631523014,51373.47651145707
Project 452,49849.11307090277,52633.13322516731,49482.2119187555
Project 453,54437.64697466702,58543.74968809782,52504.1741417861
Project 454,50183.64436108284,59360.0839973631,51570.872927677454
Project 455,50245.514308177735,46224.62288671299,50217.178327873626
Project 456,49096.39948473392,46852.16001169713,49093.25461893521
Project 457,47270.88850763047,51444.82053684906,49810.62327064287
Project 458,54189.520266666994,64401.41833264084,53360.76486564186
Project 459,47882.10084067017,45696.7886080801,48763.64767005965
Project 460,43975.345615238766,37157.087308360955,45901.045209731215
Project 461,43572.20351301848,38553.58307363268,45505.026114348526
Project 462,50193.688749027984,49417.51471083595,50312.05699131399
Project 463,52643.300337154826,55349.23178659936,51445.72994124894
Project 464,51136.857418977,47274.71217262928,51184.6267185522
Project 465,47140.01897120954,44636.421391543576,48564.46818268882
Project 466,48593.205470302644,55644.39940308154,50328.27016165917
Project 467,52784.97766214497,56516.758408338064,53219.71832784815
Project 468,44686.87507207016,43589.44908357219,46393.41750596085
Project 469,53350.24568969774,57877.44202240418,52335.81135419552
Project 470,51013.90996151963,51594.75130259112,51005.1462418429
Project 471,56858.49531071727,62013.96168658632,53984.54218812287
Project 472,52933.84593244319,53671.91130838408,52283.57339544785
Project 473,40488.464556955485,42082.58615674847,45787.03178564143
Project 474,51912.19993712914,55692.360840866546,51617.80880917917
Project 475,52546.92682611315,50707.99164961525,50566.24915675658
Project 476,52366.77966612694,48221.89608026076,50709.76159029304
Project 477,51950.46009044251,46416.49802244895,50236.390778782545
Project 478,47054.44132920684,49066.339701617246,48783.19722134844
Project 479,47015.513422809585,54391.58855367453,50022.24042008051
Project 480,50144.360475371155,54828.865699838185,50397.18525158103
