project_name,phantoms_allocation,normalized_median_allocation,pure_median_allocation
BaseSwap,50873.41706896688,50536.812667094695,46255.39853424175
Based Bodega,127.32474406732139,111.79862116171799,102.3271849667141
Based Onchain Cubes,268.1362416289109,223.51512194538842,204.57920668877728
Based Onchain Dinos,3487.029049205398,1686.445319508553,1543.5718289940053
Based Onchain Punks,1968.1590714894917,686.7950111251448,628.6106161896354
Basepaint,61536.01302542132,62088.94847230154,56828.85216914914
Basic Dog Meme,4309.782448795876,3032.5202088197734,2775.6089753051024
Beam,291.7076160494823,204.55728503964187,187.22745347871728
Beefy,27008.30983459252,26773.947729637755,24505.693121713604
Blob Farm,6644.298651795123,6186.571737725504,5662.453292696365
Bodhi,3939.237008536527,3018.5893748022286,2762.8583437280645
Boost,117176.32541866855,123157.94775750198,112724.16394181903
Bored Town,23768.28114959918,24195.660987684572,22145.835534924237
Builder Protocol,28164.91286186411,27500.056454247955,25170.28684386386
Building Blocks,1876.851573590381,742.944921098908,680.0035776058451
Catalog Radio,22052.72608287332,21746.829369480256,19904.465799372127
Circle.tech,7639.914919850456,7260.445306297244,6645.3496660170495
Clipper DEX,4809.825612790078,3940.1039878845863,3606.3034174021677
Coinvise,34230.37976179213,35188.888238344574,32207.730633185052
Compound Finance,53895.904183023566,54809.38658215025,50166.00545181215
Coordinape,15371.600756520746,12817.979270508995,11732.056460835918
Copin.io,6066.274070257968,4668.50018524056,4272.990820532843
Crowdmuse,4636.377964108439,3646.0666389194143,3337.1765365691854
Crypto Composite,3389.9867543926484,1400.2731461091832,1281.6437961124063
CyberConnect Protocol,44511.06677635117,43861.056642172545,40145.20402149604
Cygnus Finance,1453.478891720776,1017.2373097929195,931.0582659481448
DackieNFT,5588.570253461836,5444.548080547119,4983.292930709988
DackieSwap,15732.193077737555,16228.438316801243,14853.585778684506
Daimo,3001.0515922388854,2565.212259463686,2347.8907577341856
DappLearning ZK redpacket,410.80437137500866,332.59462586776624,304.41763455093223
DappRadar,484.252654058514,340.56890064563396,311.71633896867223
Decent.xyz,52838.9440379376,55515.79333338177,50812.56632656966
DefiLlama,7819.980338928651,8170.458086959228,7478.267327802653
Dmail Network,126333.11718977692,130579.7135244486,119517.1672053872
Drakula.app,3565.4329230307685,2405.63485521763,2201.8325470772397
Egg Wars: A Game on Base,1188.0577299932625,1090.5471086562802,998.157352414628
Equalizer,14186.794230950996,14174.650732640876,12973.792451871268
EthXY,14032.501669413314,13894.837610136121,12717.684739225684
Ethos Reserve,3148.662325365053,2437.163551149903,2230.690172215158
Exactly Protocol,7993.501270540864,7183.874902900543,6575.266209262996
Extra Finance,50996.19104057946,49326.61383874086,45147.72620278845
Fractal Visions,549.7703646229688,504.523505076316,461.7809190090173
Gamma,24503.66890458183,23985.079611006855,21953.094343146244
Gangster Arena,3070.3885165687507,2760.271963246535,2526.425252892832
Get Mint,8941.502171928165,8913.454395494495,8158.317939366973
Gitcoin,30657.68283706756,29929.854421181175,27394.23543473663
Gitcoin Passport,57758.34307364093,58406.14275710102,53458.049043852305
Giveth,6919.017501808969,2892.6872027804334,2647.6224426917756
Glo Dollar,1098.3901569772088,763.419343256114,698.7434329045649
Gloom,25606.094538954014,24016.62139738177,21981.96394972125
Guac (Farcaster),15459.323441732224,15637.316375250168,14312.542931979953
Guild.xyz,21079.573559129796,20952.248191141178,19177.20052219701
HOMES,4473.386544751163,3054.5274102103103,2795.751754740922
Ham,24398.352962640587,23846.13078548803,21825.917084410594
Harvest Finance,8353.15977395127,6197.266057118189,5672.241603028076
Hats Protocol,7337.045436077997,3289.7367382993557,3011.03444938569
Hedgey,23038.897904017827,22743.441583376236,20816.646301168337
Highlight,67692.43595140608,68801.24064107351,62972.48753036723
Holograph Foundation,93897.79076761327,99542.16044243037,91109.07592361918
Hyperlane,36084.31322643978,33132.51725348989,30325.572768080165
Hypersub,20465.61239047436,19876.925116683302,18192.977443274955
INT,617.3869991256983,558.9895506933237,511.6326709031227
Idle,4174.688218248954,3198.680462469418,2927.6923447835925
Infusion,4714.513121211565,4102.118555364592,3754.5923179410015
IntentX,1426.5679652599536,1153.3494816338564,1055.6391886774309
Ionic Protocol,118098.84504645827,123108.25818179964,112678.6840034175
Ironclad Finance,28005.279320721715,28896.229914210995,26448.17827399695
Keng Lernitas,10203.824340704094,9924.128959688824,9083.369447129926
Kim Exchange,100243.44287864071,97665.39225551735,89391.30513712532
Kiwi News,5251.290890153312,4249.130121499104,3889.149252219575
Kwenta,150610.45349813756,145866.18093053327,133508.5846441355
L2Pass,23605.15440703413,23292.63768711654,21319.315213418533
LI.FI,421732.7501982565,432568.6538336141,395921.9907337412
Layer3,726651.2925206361,730852.4657374894,668935.5795964624
LayerZero,144909.49279488763,136347.4638983223,124796.28114450708
Let's Get HAI,16359.786250056846,14844.332814802041,13586.73992455141
Lido Finance,14450.952795047526,14023.31819208488,12835.280610597698
Linkdrop,13804.356049616847,11025.024173759712,10090.998226703605
Liquidify,3272.548061819666,2179.8157433540573,1995.1445415493563
LlamaPay,786.5943137448098,680.9502021083289,623.2609719172458
LogX,65468.10191729485,66130.38140688889,60527.90007448856
MYSTCL ($MYST),5607.270340669501,5488.736382798226,5023.737656510974
Manifold,69725.25734873915,72753.48669473547,66589.90435326376
Maverick Protocol,68229.00213665291,70107.34008558626,64167.935900434815
Metronome,9435.055626611767,7348.411458007844,6725.863437862948
MiniBridge,18971.63909512477,19328.89603943011,17691.3766885205
Mintify,3015.6896616982954,2385.5886370386743,2183.4846188634033
Mochimons,2989.2814457347254,2278.8330939219554,2085.7732688197843
ModeChat.xyz | Onchain Social on Mode,13362.456461276031,11591.07111097151,10609.090391365715
Moonwell,66729.22762029232,69988.58481237994,64059.241422087194
Morkie,8375.81078120237,8412.463833272572,7699.770656812339
Multicall3,54336.17871746787,52884.314587706234,48404.02309458102
Multicaller,44671.091658034995,40448.58518448307,37021.83278116994
NFT HOOK,23535.590065971526,22618.574115578824,20702.35744553792
NFTs2Me,78727.91207967498,82411.03901292378,75429.28119101103
NiftyKit,9385.745218479018,9740.13585880163,8914.964006423737
Nogem,6199.059510892548,5785.613049944889,5295.463312120583
Noggles ($NOGS),7716.425942963083,6618.310191393598,6057.6154167607865
ODOS,293835.9048874357,307114.0902806329,281095.77734927705
ORA Onchain AI Oracle on Optimism,2588.4992019748784,1970.7629057446875,1803.8023929648316
Oku Trade,2066.5146056244052,788.4490943024423,721.6526954551612
Omni X,18592.39462738669,17729.701153809026,16227.66354824784
OmniHub,6083.136453415551,5430.589452478964,4970.516859758758
Omnisea,12934.885287603982,12459.681940338756,11404.113622217405
Onchain Blobs - Randomly generated onchain blobs minted via a Farcaster frame,6962.1810512176535,5820.563616787855,5327.452911642195
OpenOcean,40898.44775254915,39940.39689314147,36556.69755190079
Opti.Domains,10097.839585685826,7801.019579313838,7140.1271780151765
OptiChads NFT Community,5147.147997755552,4041.6092030668588,3699.2092405788053
Orderly Network,36853.43815507091,36767.73269248173,33652.81740450102
Overnight Finance,33021.04712334935,30100.24761885144,27550.19313863223
Owlto Finance,46443.61608511399,47676.099174421375,43637.04102983101
PAWS Wildlife Room Onchain Vote in a Frame,4365.552552470447,2845.1287409357706,2604.0930729075835
PRINT3R,7786.699964977973,7254.230274770569,6639.661164012323
ParaSwap,45864.06442958433,46962.875843020185,42984.24106685744
Paragraph,61223.936997592136,62477.258738893805,57184.265286602385
Party.app + Party Protocol,121059.30115516875,124869.60514267393,114290.81190251952
Perp V2 - Curie,151164.46368953332,137701.08456352894,126035.22479823076
Pheasant Network,6923.563335840292,6407.624910496182,5864.779123395693
Phi,31593.058115262167,32394.332468553785,29649.9260539896
Pika Protocol,12057.091560648789,12179.391352185163,11147.568894202073
PiraNFT,2285.447756222483,1169.8428342086106,1070.7352455169587
Pixotchi,4743.740391433254,3862.691463819923,3535.449183366073
Polynomial Trade,11761.823445453314,12110.657295043942,11084.657898471381
PoolTogether,15653.84259007099,15005.112350790005,13733.89842388661
Portals,3667.23496162374,3481.28430949834,3186.354355340978
Preon Finance,1314.2961333766696,890.151826560295,814.7393023133595
Pyth Network,1205.3375965474663,980.157437387843,897.119752908275
QiDao - Mai.Finance,4947.396760734205,4472.346401486663,4093.454934458974
RMRK,5003.954322696942,3789.833088640868,3468.76327654673
Rainbow (Rainbow Router),103542.20943383944,103967.77863883441,95159.76140676503
Receipts,4746.188213705847,3866.913733177277,3539.313747463732
Reserve Protocol,25602.63301385436,25310.49682946323,23166.223910056277
Revert,9528.951744001048,7925.016196903872,7253.618960753969
Router Protocol,19727.67443702685,20573.31652295045,18830.371460283895
RubyScore,57052.66600378777,57922.85751836246,53015.70711242054
Sablier,489.9121630220271,445.40283150645735,407.66887328898326
Scry Protocol,4369.024294608417,3367.95804563183,3082.6289476055754
Seamless Protocol,109470.08220991527,115374.33303714797,105599.9671053733
Sequence,922.1041220028853,624.6369497593581,571.7185062829421
Slice,15815.946959697769,14661.660922540723,13419.543761366134
Slugs,5903.17148617113,5384.875390198323,4928.675634366501
Smol,37098.91508123787,36044.70657793301,32991.04513763046
Sonne Finance,40757.93322379233,40209.422859378355,36802.93198236081
Sound.xyz,246060.66082430875,251091.80003343787,229819.62387962567
Speedtracer,18675.454256987876,17380.924390967903,15908.434706671069
Splits,22516.460620082493,20020.596629110092,18324.477288924016
Stargate Finance,343959.66937628784,364870.64060515247,333959.2666006111
Streameth,6428.36501152675,5373.062854155821,4917.863841269352
Sturdy,23277.506663363853,20683.337693714835,18931.071778177593
Summer.fi,2622.3845950250366,2047.4441475030799,1873.987297996336
Superfluid,36478.43332987898,37863.59408456458,34655.838821047255
Supswap,47133.77361335188,46897.087509410056,42924.02623672784
Sushiswap,147695.4364301351,152759.38033477383,139817.8010112126
SwapBased,23568.874479556587,23160.23956530486,21198.133691150277
SwapMode,34325.06643557932,34416.956337579606,31501.19581575627
Synapse Protocol,114964.9109158352,119815.43681838566,109664.82625441167
Synonym Finance,1990.1481686186673,643.8490928101011,589.3030211466506
Synthetix,245529.24306893727,227585.39221293028,208304.6488651061
TITLES,12255.072216236837,12213.655638082982,11178.930353622463
TLX,7544.598104777705,7049.290421164267,6452.08355268661
Talent Protocol,90.55179827729505,74.35914762517656,68.0595357433093
Tarot,73962.46230541787,69146.61600630979,63288.603136393875
Thales Protocol,46066.61770300074,47802.048114101955,43752.319736429854
The Open X Project,4679.256496313141,4030.2208623692363,3688.785705539461
Tiny Based Frogs,476.8050120821634,425.0844756999289,389.07186259931945
Tokepad,2116.95412807037,1498.5695340197096,1371.6126397596886
Trash NFTs,3288.7680293259427,1715.1096513095858,1569.8077552663763
UNCX Network,2685.0755897745753,2010.6425504377924,1840.3034851653813
Umbra,3920.9265635622096,3356.5794930918637,3072.21437148369
Union,3735.1209391947195,2722.89927189702,2492.218728154982
Unitap,2411.1718904776985,1272.1456141098008,1164.3710647496084
Unlonely,7117.351793163006,5326.723582551576,4875.450373487747
Velocimeter/Graphene,6938.110257912688,6076.595809110355,5561.794384094888
Velodrome Finance,100406.99919915925,103839.32878917767,95042.19366408455
Vesper Finance,6126.7671993294725,4282.976225489087,3920.127957568506
Virtuals Protocol,7794.069783126071,7328.8506737258,6707.959818207144
WOOFi,96768.07195579518,100526.1852334629,92009.73539291769
Whale,4362.641623276349,4477.047516465218,4097.757776989245
Whimsical Euphoria: A White Inflatable Sheep,3920.2405668458077,3824.653997084678,3500.6342021629293
XSwap,32680.291626368424,33306.95303786771,30485.2305759079
Your Brians,4319.621273036742,3166.263155464689,2898.0213905667483
ZKP2P,2229.9249287528087,1318.5085531491702,1206.8061948915044
Zerion,69498.96738226312,70592.68202966446,64612.16029576037
Zerius,9414.90612818129,9396.751580842027,8600.670805306283
Zeronym,55147.42734960806,53360.36855894842,48839.74638224996
Zora,1394006.3094901,1457782.7656315516,1334281.2742233246
builder.fi,2068.3991969315566,1482.2865390605284,1356.709119307589
dHEDGE,9784.23609561151,9318.47894170338,8529.029324045192
deBridge,101230.24227388059,94205.17522629467,86224.23326902
doginme memecoin,10582.857044814562,11099.691843080787,10159.340146579332
far.quest - Farcaster Super App,81808.72679375381,81224.14118441624,74342.93582849891
fxhash,63395.77297152821,64432.475101384174,58973.83821957347
iZUMi Finance,35170.47427181665,35048.536670821566,32079.269470953717
pods.media,44991.49461786956,45029.64371271509,41214.78989003861
sudoswap,15924.632416284216,16083.79981043807,14721.200861588573
tanX - The World's Leading Institutional DEX,10100.488515185785,9158.757737779619,8382.839496235316
zkBob smart contract privacy wallet,3489.2661402304993,2921.3964819330595,2673.8995084336
🏰 BuidlGuidl,17181.814171727525,15998.49283578211,14643.12098471832
👑 King of the Degens 🎩 - Farcaster Frame Game,6868.267911334253,6354.564190355916,5816.213639601344
