round,majoritarian_moving_phantoms_egalitarian_score,r1_quadratic_egalitarian_score,r2_mean_egalitarian_score,r3_median_egalitarian_score,r4_capped_median_egalitarian_score
90,11818323.456300993,13589785.916682208,11823123.179506183,11966104.78866164,11966104.78866164
91,11824417.000898745,13702585.735366331,11840428.947416464,12133909.237229787,12133909.237229787
92,11825842.921126632,13577894.142401982,11820264.679378105,11900402.432205576,11900402.432205576
93,11701302.216996513,13445580.057134468,11745373.532350838,11907944.48918812,11907944.48918812
94,11571482.076554792,13646274.382914685,11555558.073815601,11719322.378274973,11719322.378274973
95,11609599.393431533,13142901.499336252,11672490.153027577,11802215.728666073,11802215.72866607
96,11774200.246339794,13400340.272921758,11786397.189676695,11952399.151599206,11952399.151599206
97,11628204.485721475,13593666.379261658,11662086.138395973,11869287.289395934,11869287.289395932
98,11659720.540379446,13559984.897325652,11681931.706863264,11928166.358791403,11928166.358791403
99,11709795.726287827,13402890.201360324,11755847.43450807,11865988.536257729,11865988.536257729
100,11606901.858171796,13318052.015950654,11589383.047884561,11802272.11978541,11802272.11978541
