r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
38502.60332192832,8219.08837889872,3159.2652310148396,3165.9755049860014,Project 31
195358.49558675295,158954.39121274414,151508.7976726876,151830.6021009592,Project 32
21796.03219503165,3638.180913190319,335.1710125697214,0.0,Project 33
23486.143647852325,3611.281647674923,670.0958291669273,0.0,Project 34
50225.47518685329,14187.953632945544,5055.9441566397045,5066.682973419278,Project 35
39466.04183730569,9542.46742124867,2059.003741858944,0.0,Project 36
208678.11814763476,181919.8551716303,186141.97127483197,186537.33650486203,Project 37
51948.197480351206,12634.518981793233,9091.461580351632,9110.771829267598,Project 38
24831.13704543722,4500.407458516255,613.4915923880537,0.0,Project 39
140004.6308678113,78432.13970890117,80267.99505917577,80438.48414400323,Project 40
68171.42624594115,20119.748855884372,18547.27269550967,18586.66707113312,Project 41
51154.5521194776,12247.151436809872,9049.697096182963,9068.918637405668,Project 42
289950.136398956,336775.08895009523,369226.14632411336,370010.3820301972,Project 43
125989.0063909515,66721.75109596433,72538.32031886248,72692.39158770339,Project 44
141798.53925755888,92983.6176626796,82444.86087320933,82619.97361731908,Project 45
38699.756958653605,8838.708644951688,2227.340542313592,0.0,Project 46
124871.985622318,72049.1028731951,65196.75058788013,65335.22837511348,Project 47
71199.54086166873,24519.96324680342,21770.358348989357,21812.96611715053,Project 48
59795.32946874045,16495.487000048735,11812.387572640579,11837.477063731048,Project 49
156968.1598080362,99471.06634852133,105495.89234189146,105719.96543759001,Project 50
200253.43258236363,161479.7328813411,164317.9263587804,164666.9373545702,Project 51
100985.95091140106,48286.62447951203,38428.158116362974,38509.779458767676,Project 52
57936.381720373945,18112.59542545227,13996.11120431854,14025.838920684304,Project 53
62007.19796524081,19585.033872581313,10930.86689768307,10954.084040360956,Project 54
43800.03348248313,11408.768685393681,4301.420475463119,4206.919741456661,Project 55
177987.68995769552,126376.08050759872,131494.95596971255,131774.25103228606,Project 56
34643.055146800216,6694.842029150277,3049.666047793258,3056.1435332858796,Project 57
59869.43618906945,16983.422883069776,16322.69409210029,16357.363466558058,Project 58
107299.91315446795,47277.15493717656,48652.676093378104,48756.01429455595,Project 59
50240.17215972291,14303.698644035268,7940.907219789966,7706.812149724352,Project 60
32721.8013888336,8125.241622142118,1042.1494926160256,0.0,Project 61
25991.903599843998,4307.537396911504,1036.5863673005604,0.0,Project 62
201485.57705311172,165340.23592817134,166435.72587756024,166789.2350759218,Project 63
74785.02038828848,23393.238242992516,24494.941723861528,24546.96893837367,Project 64
299956.1247131943,368848.7436078685,391476.5168681706,392308.0123234027,Project 65
50269.57968011602,14928.316456590092,11150.127578544223,7227.3847365236,Project 66
34867.95878328694,6631.38462594256,3269.4480027121454,3276.392304702776,Project 67
100715.01505882264,42549.3753239971,42495.44394656719,42585.704197149586,Project 68
97735.35909666595,42228.63260004814,41656.567343030896,41745.045821135776,Project 69
48557.724485610466,11099.089994281638,7306.588996793318,7322.10817938104,Project 70
72694.86347620009,23211.619571205705,21537.176401274697,21582.92132727807,Project 71
201189.37304405443,176619.19708404268,147880.63515605693,148194.73337332116,Project 72
30366.97051633194,5546.626831381818,1512.5558106575065,0.0,Project 73
132813.06734267392,78944.00841057475,71906.99971297158,72059.73005792059,Project 74
46945.07425504829,11508.88055344979,8362.131232092781,8292.841040506464,Project 75
78660.89986979349,25977.757259694266,26722.436325133673,26779.194734385994,Project 76
144026.19702646075,90897.98527790634,89729.36793111754,89919.95295581441,Project 77
196433.59378187865,157972.72983721684,175100.96103843857,175472.87518152694,Project 78
78358.19516790158,39867.19671071914,8672.243796286639,8690.663627343083,Project 79
41566.82919956419,11177.553384996243,2288.7226303474336,0.0,Project 80
130655.91949185201,76315.06046236324,72001.56163482432,72154.49282913432,Project 81
101383.2523278678,45261.07307349789,46880.49914125595,46980.07324160509,Project 82
121394.81356856835,62888.74523026168,62814.605125392955,62948.023239720234,Project 83
59755.371512413134,18243.466547895878,9157.438923339507,9176.889308019636,Project 84
130017.83356287508,69508.80063436714,71490.43269219324,71642.27824949942,Project 85
74386.89664247821,26827.133617382053,18579.334145127286,18618.796619215136,Project 86
77751.19923960652,42321.04494458853,9862.59385139088,9883.541983937472,Project 87
126189.38540839648,68617.68341863077,68184.58282945839,68329.40676728525,Project 88
215139.74180744635,194800.82965971733,206265.34792736644,206703.45517514096,Project 89
268600.82134451414,287751.9183533912,298426.2807732298,299060.1376854398,Project 90
149893.5905132506,103180.45507174784,99330.9151887689,99541.89388349176,Project 91
122993.24367037836,69703.61884238308,59590.79860648908,59717.36936125962,Project 92
30226.534099377783,5390.490191951972,1675.844404652905,0.0,Project 93
52016.223528152186,13373.418527624777,9589.608157526653,9609.976468924307,Project 94
56937.02154553998,15533.553194571781,12298.105429167905,12324.226584158565,Project 95
34006.76699312538,6944.346924987373,4185.905527071715,3465.073022764022,Project 96
308012.18465588737,387811.2256694881,369077.17753336043,369861.0968299864,Project 97
142301.96769756058,82108.05510280016,86630.57324994811,86814.57644001872,Project 98
79999.86197838378,27602.977895933982,29752.427335214998,29815.621440213337,Project 99
273504.8788045002,302879.70525741327,292799.75079432933,293421.6569664448,Project 100
69462.61616467852,28583.327614072638,12738.84445589939,12765.901739832352,Project 101
329822.43310329894,466264.02123710926,437305.17473417433,438234.01018067804,Project 102
133120.24311862316,75184.87528026497,69831.06658996598,69979.38765649656,Project 103
543452.5066607527,1182466.559754094,1296835.973510013,1299590.45090953,Project 104
704928.3868179675,2013492.5431308441,2191087.4967408897,1500000.0,Project 105
338705.55492586084,522826.4033165936,408768.1678113797,409636.3907037713,Project 106
102246.39484703082,47140.75988057023,44503.14331929044,44597.66791992183,Project 107
100250.74438654092,44275.39558265458,42041.750686972446,42131.047293843985,Project 108
94647.66389123819,40228.31974452571,33052.898841922324,33123.103142780965,Project 109
45892.90064787684,10805.872886917994,6685.575054871467,6548.94361784786,Project 110
32899.560111640916,5964.493109667232,2041.4810699683037,0.0,Project 111
218469.28555301102,191631.56267626307,198258.14189342022,198679.2418492131,Project 112
63243.303255024126,17503.075460759323,16455.170126736008,16490.120880065766,Project 113
232798.87274658313,218867.11793277386,218114.1372770509,218577.41133322837,Project 114
224032.33918431748,201165.40361171696,210181.01941584251,210627.4435431911,Project 115
85100.13871697585,35050.87085793641,22030.455148427525,22077.247797649903,Project 116
114451.47257082406,56287.33341613646,57947.813578302375,58070.89463567067,Project 117
43928.89351091555,9886.761435230665,7337.300765114571,7167.158750448167,Project 118
44790.204257171026,9774.830380158575,6831.916061489389,6846.427039570786,Project 119
98505.79183671804,47572.615148666766,34749.9012122164,34823.709943219925,Project 120
219113.43993582117,195738.9003507937,209824.9924384547,210270.66036510954,Project 121
74818.62718311182,23699.1601639803,25220.472237535178,25274.040477622944,Project 122
194506.51590215595,157765.8131807595,158546.58210656428,158883.33477698968,Project 123
169020.5609334577,125217.96772051472,121264.40480589672,121521.97019521864,Project 124
128862.10090571911,74449.0238976932,67810.23156122268,67954.26037759325,Project 125
246681.62878558785,245962.98621566125,247067.3708303526,247592.1415052965,Project 126
81344.39608809621,28102.208697350296,29200.81808199415,29262.840569877924,Project 127
63908.874113323625,19009.256797411243,17345.203045763665,17382.04422749791,Project 128
70034.92287847585,22810.118435805227,19841.6197382333,19883.76330477152,Project 129
468902.9917369801,870705.3607839682,920724.5987845486,922680.2162645814,Project 130
38712.88036795805,7864.326487302177,6085.744496685933,5920.874364365025,Project 131
44735.614024711205,13322.995023161842,2363.7615433088977,0.0,Project 132
115686.32803986633,59106.31936616271,53153.44524405839,53266.34307124849,Project 133
64939.08641577095,18725.119956198596,16280.846281680193,16315.426771459888,Project 134
94296.47450757379,36627.180889123294,37353.98673834152,37433.32654256837,Project 135
70047.6691365347,24308.236213596218,17449.984453234305,17487.048190499598,Project 136
173687.53069967087,122337.60864873335,119740.86200711208,119995.1913941236,Project 137
81185.64182374236,34138.94941571682,23387.369220702956,23437.04395310433,Project 138
56806.70616030639,14825.416238220138,12116.699069511993,12142.434917703642,Project 139
155947.78772716463,99409.90331460272,110229.25031075033,110463.37705071489,Project 140
155454.2755739,99480.61999308308,90240.20482700082,90431.87486839473,Project 141
174894.54427923786,125192.24954773636,142932.41070075764,143235.99889770444,Project 142
53952.688900421745,14437.506506633652,8529.664060983616,8547.781052925058,Project 143
73605.0141248366,25029.276829933988,21748.10101719951,21794.29394672795,Project 144
186800.66063678576,138620.90771894262,140794.1751510682,141093.22173934843,Project 145
212545.5452190033,183785.4941169684,187306.12109969064,187703.95898196645,Project 146
298203.49935666204,364015.55339125224,374357.6759708937,375152.81103720947,Project 147
322855.31511903385,476163.9001214709,412826.3073866117,413703.1497605511,Project 148
69234.10835974838,20380.85250638211,19209.987628660503,19250.78960967352,Project 149
152763.4425592621,94824.69600504062,97117.84548129298,97324.12361972553,Project 150
93201.05379467431,36849.784322835025,36513.678698144955,36591.23368952528,Project 151
46698.41491346631,12542.554283363033,3507.175698720008,3514.6249339321625,Project 152
56437.75430509586,15055.729555238288,11580.30569357371,11604.90224314822,Project 153
91751.82692628345,35425.855983379995,36307.61476559577,36384.73207753425,Project 154
101957.92162697426,46336.36919191545,44985.1585652543,45080.70696544735,Project 155
49383.326226660276,11617.91078877562,10436.851321892784,10459.019176328888,Project 156
32850.32286696414,6058.434565593005,2668.665194156822,0.0,Project 157
38523.656074788385,11024.036247715294,3269.430000593866,0.0,Project 158
58318.22775405532,15093.027597936756,13408.044360226557,13436.523023616812,Project 159
61981.772609379776,19787.98592446285,11361.87710179634,11386.009709413851,Project 160
267916.00828042853,295303.2488554028,311694.2344986171,312356.2725219474,Project 161
63350.620321231545,23164.509624811515,11592.964009759395,11617.58744557593,Project 162
135074.4657638204,79001.55686364011,75880.58567111091,76041.75590586891,Project 163
78632.4055302519,29707.852676613948,23759.109689781115,23809.57399830582,Project 164
120333.51284658247,58190.022425141724,61678.572233373096,61809.577415772124,Project 165
193393.75936416315,151658.68011550748,173652.07731210196,174020.91402862265,Project 166
27880.10456964688,4612.503586757336,1336.753449349852,0.0,Project 167
54465.79765069847,16124.355111449315,10213.78701315968,10118.546677796325,Project 168
282800.8842011762,317260.53534624,345890.95667539636,346625.62847840093,Project 169
32749.871038973317,7529.927322160619,2058.6791504163325,0.0,Project 170
109842.96554609503,54387.617445454234,43955.49503471303,44048.8564313205,Project 171
62686.497690216645,17239.229788428464,16143.796035584555,16178.085430874904,Project 172
160204.4187925168,111367.40836772165,108061.62612711138,108291.14883700087,Project 173
176677.81740001356,126589.53816827493,120547.39883712117,120803.4413069863,Project 174
396348.8114633042,646580.51398278,752770.4008390642,754369.2838886487,Project 175
