round,majoritarian_moving_phantoms_l1_distance,r1_quadratic_l1_distance,r2_mean_l1_distance,r3_median_l1_distance,r4_capped_median_l1_distance
62,11483001.764275081,6326876.720597967,11506757.151930664,13563458.661929596,13563458.661929596
63,11202139.396680307,6190087.8988174815,11251646.101741781,13283843.349476155,13283843.349476155
64,10533389.938331362,5822259.971890793,10618512.962184306,12494261.376427367,12494261.376427367
65,10987897.690259513,6050796.659279792,11052705.877644334,12996859.05768352,12996859.05768352
66,10748192.246777944,5925328.599314428,10868495.576039903,12862047.41877349,12862047.41877349
67,10882276.690809749,5942683.697350776,10943636.622075249,12856095.926827936,12856095.926827936
68,10598979.002634447,5843174.293290384,10679630.289862655,12525312.28304661,12525312.283046613
69,11390599.971501738,6273420.619814317,11453770.611614417,13555809.207201306,13555809.207201306
70,11168607.182797015,6117292.894934187,11216953.15942836,13222957.816817481,13222957.816817481
71,11214711.184599167,6175201.6698642615,11289904.503778722,13229656.503377361,13229656.503377361
72,10908389.18426766,6018041.247703148,10968676.73340173,12873745.205133237,12873745.205133237
73,10978669.292081254,6064263.812431203,10952748.262450749,12902084.02086765,12902084.02086765
74,10831774.692279218,5868908.112916771,10876021.974550284,12736205.293347456,12736205.293347456
75,11002318.959671127,5932118.145529365,10978553.290602243,13016968.490584852,13016968.490584852
76,11581178.831254805,6296146.840280348,11608306.17920236,13743912.492920224,13743912.492920225
77,11182558.890721314,6091301.748768998,11210964.414641418,13273013.205442505,13273013.205442505
78,11458953.840501638,6237827.796434867,11475492.071219536,13516765.400214477,13516765.400214477
79,11311621.958241511,6136056.223398455,11283269.326808138,13303043.749709055,13303043.749709055
80,10916366.560558595,6149184.00569001,11012576.560244128,12962838.795792652,12962838.79579265
81,11236867.183012813,6123929.033586446,11292610.057251822,13335173.190947328,13335173.19094733
82,11200580.387613226,6088029.410223424,11213407.717868224,13257754.69578749,13257754.69578749
83,10547873.14408664,5798775.609784175,10511866.113272518,12382783.256451536,12382783.256451538
84,11045244.740020884,6027812.367787952,11039042.354469841,13044361.608468365,13044361.608468365
85,11158988.438135736,6161564.8034127625,11196826.431838267,13182059.577771146,13182059.577771146
86,10920675.804319533,6045185.767064921,10975195.73195631,12965202.969575368,12965202.969575368
87,11112248.381183164,6173560.834369343,11159079.169024281,13204075.200760838,13204075.200760838
88,11217606.804995924,6122038.630608733,11170477.753227204,13180287.195788436,13180287.195788436
89,11194931.565734887,6088946.377449635,11183336.957013842,13230353.757267375,13230353.757267375
90,10857082.962641042,5990284.749962313,10927842.71896233,12890681.939855501,12890681.939855501
91,11495716.037679553,6307822.10372817,11454305.844548931,13507811.524122728,13507811.524122728
92,11308604.607360125,6152177.8870120775,11274819.991664693,13288081.843978724,13288081.843978724
93,10770835.095558882,5880314.561388899,10776968.253065813,12741920.129241783,12741920.129241783
94,10835439.63028584,5981515.122297803,10867418.096122053,12841807.023170615,12841807.023170615
95,11079592.041756673,6082763.677935736,11131751.187111523,13120847.21177531,13120847.21177531
96,10969564.90166577,5955315.298906702,10988729.378344843,12929880.855627885,12929880.855627885
97,10711929.699341685,5819200.1548320465,10682775.773875825,12587942.103606526,12587942.103606526
98,10773374.41246425,5911242.9045731155,10860760.209254969,12797655.39551515,12797655.395515148
99,10731433.212429184,6026252.065040069,10805002.307050306,12799020.702525726,12799020.702525726
100,10834842.198671069,6023478.077697208,10947296.303030092,12902999.234893441,12902999.234893441
