round,majoritarian_moving_phantoms_social_welfare_avg_l1_distance,r1_quadratic_social_welfare_avg_l1_distance,r2_mean_social_welfare_avg_l1_distance,r3_median_social_welfare_avg_l1_distance,r4_capped_median_social_welfare_avg_l1_distance
76,10978052.47418672,12442215.495264068,11004750.0942506,11151203.554407764,11151203.554407764
77,10952814.80129278,12563330.673064403,10983950.119416444,11140644.936248682,11140644.936248682
78,10989808.364687335,12537560.596496806,11016937.885790126,11173503.181207053,11173503.181207053
79,10970336.017648987,12921819.954670493,10996062.252784992,11176701.40533213,11176701.40533213
80,10983281.184816895,12847767.947502147,11009890.404861102,11191239.376191286,11191239.376191286
81,10988323.859146332,12553187.691300899,11014783.873281687,11166629.022342617,11166629.022342617
82,10897099.51526336,12566758.272980891,10922918.60696407,11079433.19770983,11079433.19770983
83,11012670.377159089,12684311.49066191,11039391.584505172,11207888.916165305,11207888.916165303
84,10951339.961157834,12738777.618647631,10977913.501687067,11152564.307579773,11152564.307579773
85,10966878.398172444,12617134.86881397,10992810.2744404,11147524.388124472,11147524.388124472
86,10945734.6023493,12471685.647888655,10972594.901135921,11118920.976536795,11118920.976536795
87,11000613.148886211,12897087.791290341,11026662.8277116,11214345.097985897,11214345.097985897
88,10959019.911846211,12516734.978442442,10985344.657973595,11133503.220882026,11133503.220882026
89,10998746.344579589,12598548.886770913,11025720.269296471,11174802.188031055,11174802.188031055
90,10951127.516785832,12684826.26076356,10976575.825418912,11145803.240174573,11145803.240174573
91,10962145.42328807,12539783.786293266,10987474.496508656,11135887.965650167,11135887.965650167
92,10947747.489229321,12646322.694145337,10974081.776837902,11124937.57616573,11124937.57616573
93,10918754.298522394,12768479.043714324,10944162.807146624,11111246.523869695,11111246.523869695
94,10955940.427201778,12759671.374836644,10985558.777061826,11156269.555376038,11156269.555376038
95,10982550.130338548,12613963.217930201,11011663.31985755,11166691.366469745,11166691.366469745
96,10952870.918798588,12415935.355315907,10978901.423183365,11137235.949243732,11137235.949243732
97,10951563.572865164,12418581.611335589,10979986.834629487,11123477.163682053,11123477.163682053
98,10966147.89431423,12658287.061518338,10996568.601440437,11150379.022843925,11150379.022843925
99,11008087.627021352,12481478.098829903,11036466.808481427,11180486.344767125,11180486.344767125
100,11000034.318842601,12720073.374366317,11029846.597963115,11198233.3910351,11198233.391035104
