majoritarian_moving_phantoms_distances,r1_quadratic_distances,r2_mean_distances,r3_median_distances,r4_capped_median_distances,changed_vote_l1_distances,round
11913.662796257351,16872.22521965564,74691.12500269359,2890.99093337219,2890.9909333756677,5461817.0,41
6103.998849554246,16056.814287091776,67827.04786760938,1564.0455106957725,1564.0455106957725,4968902.0,42
1680.951641942862,16675.31322592032,65515.657412664164,2023.0077157546984,2023.0077157546984,4783287.0,43
4138.949856988962,12398.151799488856,48552.50130703616,4003.2358737841005,4003.2358737841005,3564561.0,44
3680.621848078754,13172.07189023471,48796.599314292864,4583.808493803475,4583.808493803475,3575068.0,45
5638.934292153437,16865.940581726387,68471.79885995045,1091.8226474402636,1091.8226474402636,5004062.0,46
5040.728222472815,13639.130585638715,51060.851069690005,2083.22025733157,2083.22025733157,3742375.0,47
6538.106536683164,12418.304742051114,49064.526129489255,5942.778464505567,5942.778464505567,3609323.0,48
6818.735915365527,12998.089844934151,48176.113849948735,1580.8127296028033,1580.8127296028033,3533975.0,49
9773.479173366657,17115.99798305227,70815.67140179206,2761.1745157515415,2761.1745157515415,5192419.0,50
3172.663839260971,16306.875987559408,71814.47513034164,1841.8435922375375,1841.8435922375375,5301377.0,51
4611.127825467749,15183.759143872958,56633.77530071863,3209.5100203991315,3209.5100203991315,4143656.0,52
7327.084445446097,17350.845117988323,68132.19994984409,4710.360600615091,4710.360600615091,4979699.0,53
4951.947042657695,13638.269533509483,53413.54146031366,5143.381674443219,5143.381674443219,3907946.0,54
15707.628238715155,12770.022746673865,52709.58465422476,3671.1364855617776,3671.136485565172,3876166.0,55
3043.325008398486,13342.051074139603,56266.527682149564,1628.2879043544272,1628.2879043544272,4135650.0,56
7516.9692801778,16498.45581791152,63335.2919666769,4567.531046141843,4567.531046141843,4627726.0,57
6449.92299212682,13641.217502661977,49534.010495690905,3106.911242340835,3106.9112423445713,3611545.0,58
13384.02002031979,14606.285984183149,61676.92792822804,3537.5448233479347,3537.5448233479347,4575601.0,59
5551.764926360411,14515.734850882724,61212.594092122046,3128.59287795785,3128.59287795785,4504562.0,60
8791.001840276022,14666.536387972239,58479.57833086957,3315.0581056581123,3315.0581056581123,4284420.0,61
4455.221418924684,15955.21032779801,67271.59673851523,2697.6481877392252,2697.6481877392252,4943756.0,62
5384.860465107526,16954.720297277716,66958.71474923943,2907.8929603266515,2907.8929603266515,4903992.0,63
2784.0853807969906,19127.64723059095,78200.8840812382,2293.487313838181,2293.487313841586,5715704.0,64
4692.476372895959,13712.255090845683,56571.87627423437,5695.198709481934,5695.19870947826,4139527.0,65
4198.21729755768,14978.661262244248,60391.19445531901,1810.1374538012333,1810.1374538012333,4427551.0,66
3534.9246661120415,17893.990142685703,81797.8450167595,2873.3879743167054,2873.3879743167054,6018401.0,67
7505.196932507708,16005.597754420563,66704.20292357808,2157.063347793368,2157.063347793368,4877798.0,68
