majoritarian_moving_phantoms_distances,r1_quadratic_distances,r2_mean_distances,r3_median_distances,r4_capped_median_distances,changed_vote_l1_distances,round
22912.907574088924,21460.45295349303,58361.693864449,20960.218257367465,20960.218257365734,1427398.0,50
18144.64523099859,16017.757451291513,44057.64209517062,29710.772776840273,29710.772776838483,1137194.0,51
45211.34883726256,20244.573720856675,53475.273894385566,6400.77942083629,6400.77942083629,1296959.0,52
16141.10737341544,24900.401700376733,66075.79286635802,30893.497564623798,30893.497564623798,1610975.0,53
35016.57927568717,18079.81030695427,44856.4280648365,20290.416215546407,20290.41621554557,1081559.0,54
15877.071196367455,20872.75811278146,55909.2888697193,3596.8745145676476,3596.8745145676476,1405479.0,55
22611.400762019974,17901.232345506378,43060.87231319083,17492.900319620272,17492.900319620272,1038705.0,56
29645.319999917338,18883.20833957291,49521.92607464146,25746.383535979232,25746.383535978457,1202818.0,57
32763.144537750275,19444.231311078842,46315.33668258395,3549.294817656075,3549.2948176543177,1157751.0,58
40464.66420373378,22020.179091634083,55028.8129960577,13731.216760758862,13731.216760758862,1335739.0,59
45127.85487778044,22480.197889648454,55039.82797032897,16401.770502125088,16401.77050212334,1333404.0,60
674293.4052364883,23756.193892927175,60526.29492285615,6444.074171045806,6444.074171044986,1470028.0,61
18173.8409596555,15888.900510912023,39975.055681116784,12868.479054981692,12868.479054979989,962484.0,62
26813.762141444437,18726.401100931966,48929.9468958009,28219.975600017497,28219.975600017497,1171408.0,63
4149.7334277174505,19371.30320269164,53344.64028504009,1665.7758307640288,1665.7758307631284,1280208.0,64
29024.575234210984,19779.367015550863,49790.563778362884,17600.113204559297,17600.113204559297,1199670.0,65
23967.37141421496,22276.341221823004,52834.73531444398,4463.450370496224,4463.450370494329,1258198.0,66
4645.322400859921,15453.233809677604,45992.41937402467,3378.833637324724,3378.833637324724,1111385.0,67
11787.809315439265,21067.99400167296,47875.45351565553,16708.339968997425,16708.33996899651,1151785.0,68
16403.97016509383,16369.228167573485,44749.45627473958,5773.196869065641,5773.196869065641,1071708.0,69
19072.916340562853,13328.193585096582,31862.43820489071,22915.296322895985,22915.296322895985,773936.0,70
14843.657610451,21027.803143123823,59303.934998342665,6900.655391070266,6900.655391068485,1433499.0,71
15262.227250436003,17578.1876806206,44210.69490812172,6750.196034350172,6750.196034350172,1066693.0,72
21063.827093118252,23962.61817345286,59500.99347435788,25922.269635231292,25922.269635231292,1432597.0,73
27813.074100471516,22387.633106528778,63250.418772391524,6108.635528755585,6108.635528754814,1566393.0,74
29146.658695475162,21592.48133098134,51989.764803677695,10800.43477582438,10800.43477582438,1252027.0,75
40630.269496558176,19153.682060226656,46421.54966058983,18778.996079881872,18778.996079881872,1107969.0,76
3079.8594788125865,17619.553691717567,42126.66530989786,2960.1210347913184,2960.1210347913184,1000561.0,77
18320.30842621711,20316.471207996303,51992.470138309815,23379.500139998156,23379.500139998156,1262878.0,78
20752.656696667145,13053.423986424397,34759.16836408626,15772.514333020725,15772.51433302001,854428.0,79
15114.364648892124,23226.960874688546,54985.88346383885,16656.420161879643,16656.420161879643,1337422.0,80
30563.95924551357,18908.516742254065,50247.00479727938,9902.825014850438,9902.825014850438,1235020.0,81
30648.986444343464,18542.117895126958,44348.299365727806,10816.78691620019,10816.78691619934,1059263.0,82
20771.80757206279,22488.474295435324,59674.34256729524,5753.910712637997,5753.910712637997,1450679.0,83
38633.986543471765,18044.931633186574,44636.08936857005,2818.1882624799764,2818.1882624799764,1083004.0,84
37817.104359762656,16554.89901878639,34513.442408900926,13614.629424422943,13614.629424421177,846638.0,85
8707.21979607014,14745.001613344102,36925.683182883375,4584.874641394061,4584.874641394061,908306.0,86
12172.330266777302,17343.581618795008,45742.62855918947,21863.469345371403,21863.469345371403,1119450.0,87
9144.970440247484,17028.821084172592,43306.38515234088,12808.618063705771,12808.618063704904,1048114.0,88
35768.937585035106,24236.731631399132,67072.8080360514,32631.301924047773,32631.301924046867,1615864.0,89
10339.898026294606,15643.46297019871,45889.68416613227,8917.791137145374,8917.791137145374,1140490.0,90
31030.9916842322,25761.22873409121,76164.66543439256,2101.467045556841,2101.467045556019,1862180.0,91
16611.851753696355,14259.661391351434,33239.68255310705,4505.51702189438,4505.51702189438,806988.0,92
23032.603520492463,17866.550490223286,43426.72700473174,12629.28457375461,12629.28457375375,1047187.0,93
11723.797545148416,20100.56801469849,49865.42093109632,5825.559001821712,5825.5590018208895,1193118.0,94
22245.19017227001,20858.613438498323,52882.26017348621,30780.431389595255,30780.431389595255,1334603.0,95
30817.222077246148,16429.597430049143,45253.22331898862,7202.618816046808,7202.618816046053,1092326.0,96
20918.614026741605,19620.83634330704,44408.32870263244,6041.751637944451,6041.751637942734,1071660.0,97
8821.24986498989,13767.154765478732,37342.228519311844,1168.2871322273913,1168.2871322265855,920110.0,98
27831.893794042626,20898.41834189796,50622.70275532568,9916.5008709178,9916.500870918595,1214045.0,99
24730.36081609573,18892.22533764472,49077.84252105929,7321.009196319084,7321.009196319084,1234677.0,100
