majoritarian_moving_phantoms,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
62132.036973274524,55487.00533719142,56405.705421225575,60461.68636511802,60461.68636511802,Project 100
78351.05466881693,65738.4823930562,78408.85445508237,84434.74770737332,84434.74770737332,Project 101
46587.50366393972,50644.55535496596,47882.46101331657,45590.697412506364,45590.697412506364,Project 102
25988.846391812367,34069.43042088846,24985.064153959407,23238.081484557977,23238.081484557977,Project 103
81701.63503749744,67819.3349512967,83402.25248420628,87244.74236855168,87244.74236855168,Project 104
37733.54295592203,45530.54234516708,39951.39854959044,37526.687139273185,37526.687139273185,Project 105
61861.95324917311,57069.67629759597,59496.96312471387,63897.370052087936,63897.370052087936,Project 106
68822.60548822685,60306.186805168465,67606.56785019697,67500.42386490246,67500.42386490246,Project 107
51294.91145935769,54126.70989176814,53788.48979902762,54402.28721109195,54402.28721109195,Project 108
52938.609118790184,54424.47070663678,54638.102318225305,55176.5034629688,55176.5034629688,Project 109
48845.53165231226,52265.949065849934,50654.266178249716,52653.83667627758,52653.83667627758,Project 110
34258.375542835514,43836.598146284356,38065.08548338258,32536.71320727383,32536.71320727383,Project 111
60413.72309601178,57425.11138861993,60707.4717558994,63706.52036168505,63706.52036168505,Project 112
28294.743019155412,36205.957962355176,27448.74305600569,24307.963197262812,24307.963197262812,Project 113
54133.342003425576,53260.23360309762,52066.815757013435,56011.30440664891,56011.30440664891,Project 114
29379.20676092257,40859.47070871641,33542.90273802478,28214.347676088117,28214.347676088117,Project 115
34734.145698623484,43100.606943413986,36010.31645493844,35008.593465381564,35008.593465381564,Project 116
30729.247690001903,37965.167682161664,30503.074059546405,25686.841041753712,25686.841041753712,Project 117
27112.67788262334,34362.32751221834,25663.953561080176,23239.552859522028,23239.552859522028,Project 118
50444.00201228423,52731.323426499715,52400.916617374576,50400.32543685822,50400.32543685822,Project 119
72717.36690934745,62870.189833627526,72165.70355034195,73853.2525337053,73853.2525337053,Project 120
32789.03119781077,41132.65795375914,34057.29229528444,31013.670345604965,31013.670345604965,Project 121
28785.549325546006,36586.61433315011,27287.265180126335,25237.349006904635,25237.349006904635,Project 122
77311.8008208191,64706.54686364394,75788.39385055135,83557.82555690943,83557.82555690943,Project 123
71542.69850194042,60336.197198506554,66764.69662927963,67213.60734883208,67213.60734883208,Project 124
